address,neighbourhood,district,sqft_surface,bedrooms,bathrooms,new_construction,latitude,longitude,price
Avinguda de Burjasot,Marxalenes ,La Saïdia,73.0,3,1,None,39.4885349,-0.3894175,117000.0
Cabañal,El Cabanyal-El Canyamelar ,Poblats Marítims,79.0,3,1,None,39.4701544,-0.3323547,85000.0
calle Fontanares,Patraix ,Patraix,109.0,3,2,None,39.460221399999995,-0.3942363,119000.0
Avinguda de Tres Forques,Vara de Quart ,Patraix,98.0,4,1,None,39.463366,-0.4002515,100000.0
Avinguda de Pérez Galdós,Nou Moles ,L'Olivereta,97.0,3,1,None,39.4679698,-0.3908855,130000.0
calle de Ramón Marquet,Aiora ,Camins al Grau,186.0,2,3,None,39.4644404,-0.344943,119000.0
Pobles del Sud ,El Perellonet ,Pobles del Sud,78.0,2,2,None,39.4282661,-0.3581993,110000.0
Avenida de San José Artesano,Benicalap ,Benicalap,71.0,3,1,None,39.4972616,-0.39452309999999996,54000.0
Avinguda de Joan XXIII,Benicalap ,Benicalap,56.0,3,1,None,39.4903222,-0.3822995,65000.0
calle de Santiago Rusiñol,Orriols ,Rascanya,80.0,3,1,None,39.4942424,-0.3649867,93000.0
calle de Rascaña,Campanar ,Campanar,93.0,4,2,None,39.4804882,-0.394916,130000.0
Carrer de la Quilla,El Perellonet ,Pobles del Sud,70.0,3,1,None,39.2798718,-0.27720659999999997,98000.0
calle de Cuenca Tramoyeres,Benimaclet ,Benimaclet,69.0,3,1,None,39.4837904,-0.36089920000000003,130000.0
Carrer de Beneixida,Tres Forques ,L'Olivereta,65.0,2,1,None,39.467505700000004,-0.401161,58000.0
Lolivereta,Nou Moles ,L'Olivereta,90.0,3,1,None,39.470655900000004,-0.39619590000000005,85000.0
Avinguda de Burjasot,Benicalap ,Benicalap,180.0,3,2,None,39.4885349,-0.3894175,120000.0
Avenida de la Constitución,Orriols ,Rascanya,70.0,3,1,None,39.493143100000005,-0.3732987,94000.0
calle de Menorca,La Creu del Grau ,Camins al Grau,68.0,2,1,None,39.4612806,-0.33953790000000006,90000.0
Camino Viejo de Chirivella,Soternes ,L'Olivereta,80.0,4,1,None,39.4695131,-0.41647510000000004,77000.0
Avenida de Ausiàs March,Malilla ,Quatre Carreres,86.0,3,1,None,39.4434875,-0.3693949,102000.0
calle del Pintor Maella,La Creu del Grau ,Camins al Grau,80.0,4,3,None,39.4637156,-0.3463579,125000.0
Carrer de Presen Sáez de Descatllar 'Professora,Tres Forques ,L'Olivereta,85.0,3,2,None,39.4651869,-0.4002397,79000.0
calle de Joaquín Navarro,L'Hort de Senabre ,Jesús,80.0,3,1,None,39.4530162,-0.38808909999999996,78000.0
Avinguda de Tres Forques,Tres Forques ,L'Olivereta,75.0,3,1,None,39.4637178,-0.4053235,129000.0
Carrer de la Florista,Benicalap ,Benicalap,80.0,2,1,None,39.490300399999995,-0.39161399999999996,80500.0
Avenida de la Constitución,Orriols ,Rascanya,71.0,2,1,None,39.493143100000005,-0.3732987,79900.0
calle de Ador,El Castellar-L'Oliveral ,Pobles del Sud,73.0,3,1,None,39.429969,-0.36212990000000006,45500.0
calle Carrer del Rosari,El Cabanyal-El Canyamelar ,Poblats Marítims,70.0,2,1,None,39.4657073,-0.3316034,118000.0
Carrer del Marquès de Montortal,Torrefiel ,Rascanya,70.0,3,1,None,39.4948384,-0.37569640000000004,99900.0
Carrer de Mesana,El Perellonet ,Pobles del Sud,70.0,3,1,None,39.304039700000004,-0.2931341,125000.0
Avinguda de Manuel Colomer Marco,Camí Real ,Jesús,81.0,3,1,None,39.43875715,-0.3887658109535896,65575.0
calle del Pastor Aycart,El Castellar-L'Oliveral ,Pobles del Sud,79.0,3,1,None,39.432126700000005,-0.3634991,48000.0
calle de Daroca,Orriols ,Rascanya,65.0,2,1,None,39.496042700000004,-0.36878829999999996,65000.0
Carrer de les Alqueríes de Bellver,Benicalap ,Benicalap,57.0,2,1,None,39.493322799999994,-0.39618259999999994,69000.0
La Malvarrosa,El Grau ,Poblats Marítims,79.0,3,2,None,39.4792914,-0.3235806674213336,125000.0
Carrer del Poeta Iranzo Simon,Tormos ,La Saïdia,61.0,2,1,None,39.4882333,-0.3791703,46900.0
calle calle de Larquitecte Rodríguez,Orriols ,Rascanya,74.0,3,1,None,39.493701200000004,-0.3693706,76330.0
calle de Carrícola,L'Hort de Senabre ,Jesús,98.0,3,1,None,39.4518126,-0.3871348,120000.0
calle de Pedro Monsoriu,Beteró ,Poblats Marítims,64.0,3,1,None,39.4691314,-0.3360577,119000.0
Carrer de Juan Ramón Jiménez,Malilla ,Quatre Carreres,67.0,2,1,None,39.4484881,-0.3715723,87000.0
Plaza de la Colonia Española de Méjico,La Fontsanta ,L'Olivereta,64.0,3,1,None,39.463700200000005,-0.41002269999999996,43000.0
Benimámet,Benimàmet ,Pobles de l'Oest,97.0,3,1,None,39.502815999999996,-0.4210846,76000.0
calle de Pedro de Luna,La Torre ,Pobles del Sud,68.0,3,1,None,39.4335037,-0.39048740000000004,36000.0
calle del Brasil,Nou Moles ,L'Olivereta,107.0,3,2,None,39.472763,-0.4013665,130000.0
Carrer de Higinio Noja 'Professor,La Creu del Grau ,Camins al Grau,78.0,3,1,None,39.4610612,-0.346583,107000.0
Plaza de Roncesvalles,Marxalenes ,La Saïdia,85.0,3,1,None,39.4874723,-0.37831290000000006,117000.0
Carretera de Malilla,Malilla ,Quatre Carreres,87.0,3,1,None,39.4459224,-0.380201,117500.0
calle Francisco Baldoma,El Cabanyal-El Canyamelar ,Poblats Marítims,103.0,3,1,None,39.4639745,-0.33360209999999996,108000.0
calle San Juan de La Peña,Orriols ,Rascanya,75.0,2,1,None,39.4956023,-0.3691913,58500.0
Camino Viejo de Chirivella,Soternes ,L'Olivereta,69.0,3,1,None,39.4695131,-0.41647510000000004,69500.0
Lolivereta,Nou Moles ,L'Olivereta,109.0,3,1,None,39.470655900000004,-0.39619590000000005,98000.0
Carrer de la Palma,La Seu ,Ciutat Vella,64.0,2,1,None,39.478753399999995,-0.37900490000000003,104000.0
Carrer de Sant Joan Bosco,Orriols ,Rascanya,65.0,3,1,None,39.497457700000005,-0.3692689,48000.0
calle de Zapadores,Montolivet ,Quatre Carreres,68.0,3,1,None,39.4585173,-0.3686143,88500.0
Avinguda de Campanar,El Calvari ,Campanar,78.0,3,1,None,39.48486079999999,-0.3913966,125000.0
calle de la Democracia,Nou Moles ,L'Olivereta,92.0,4,1,None,39.4726907,-0.4073637,125000.0
Carrer de San Vicente Mártir,Arrancapins ,Extramurs,93.0,3,2,None,39.4629125,-0.3821616,120000.0
Carrer del Vaixell,El Grau ,Poblats Marítims,112.0,4,2,None,39.4600454,-0.33754209999999996,120000.0
Carrer de l'Escultor Piquer,Torrefiel ,Rascanya,96.0,3,1,None,39.4921541,-0.37657579999999996,68000.0
Carrer de l'Escultor Piquer,Torrefiel ,Rascanya,83.0,3,1,None,39.4921541,-0.37657579999999996,88500.0
Avinguda del Doctor Ruiz y Comes,El Castellar-L'Oliveral ,Pobles del Sud,97.0,3,2,None,39.4238323,-0.3621953,88000.0
El Perellonet,El Saler ,Pobles del Sud,53.0,1,1,None,39.307241,-0.2964027,93000.0
calle Pedro Patricio Mey,Torrefiel ,Rascanya,65.0,3,1,None,39.4924092,-0.37782009999999994,67000.0
Sant Marcel·Lí,Sant Marcel·lí ,Jesús,91.0,3,2,None,39.445536499999996,-0.3904804,125000.0
calle de la Barraca,El Cabanyal-El Canyamelar ,Poblats Marítims,64.0,2,1,None,39.468944799999996,-0.32915229999999995,130000.0
Carrer Lorca,Nou Moles ,L'Olivereta,95.0,2,1,None,39.4689246,-0.39164829999999995,94000.0
calle del Maestro Alberto Luz,Benimàmet ,Pobles de l'Oest,50.0,2,1,None,39.5028282,-0.41836190000000006,40200.0
calle de Santo Domingo Savio,Torrefiel ,Rascanya,70.0,2,1,None,39.49780429999999,-0.3761271,85000.0
calle de Enguera,Patraix ,Patraix,75.0,2,1,None,39.4641144,-0.3938339,120000.0
Carrer de Berní I Català,Torrefiel ,Rascanya,90.0,3,1,None,39.49424129999999,-0.37635890000000005,105000.0
Avinguda del Cardenal Benlloch,Albors ,Camins al Grau,69.0,3,1,None,39.4711,-0.35446880000000003,99000.0
Carrer de les Acàcies,Benicalap ,Benicalap,65.0,1,1,None,39.490992,-0.3882599,102199.0
calle de Cuenca Tramoyeres,Benimaclet ,Benimaclet,51.0,2,1,None,39.4837904,-0.36089920000000003,114900.0
Avenida de la Constitución,Orriols ,Rascanya,120.0,4,2,None,39.493143100000005,-0.3732987,99900.0
Carrer del Comte de Torrefiel,Torrefiel ,Rascanya,88.0,4,1,None,39.4923599,-0.37565370000000003,66000.0
