index,address,neighbourhood,district,sqft_surface,bedrooms,bathrooms,new_construction,price
15,calle de María Jordán,Patraix ,Patraix,114.0,4,2,None,130.0
16,calle del Grabador Jordán,Fonteta de Sant Lluís ,Quatre Carreres,90.0,2,1,None,105.0
17,calle de Santo Domingo Savio,Torrefiel ,Rascanya,74.0,2,1,None,98.0
18,Pobles del Sud ,El Perellonet ,Pobles del Sud,70.0,2,1,None,120.0
19,Carrer del Mestre Marçal,Torrefiel ,Rascanya,70.0,2,1,None,48.0
20,calle de Joaquín Navarro,L'Hort de Senabre ,Jesús,81.0,3,1,None,89.9
21,calle de Menorca,La Creu del Grau ,Camins al Grau,68.0,2,1,None,87.0
22,calle Carrer del Llavador,El Cabanyal-El Canyamelar ,Poblats Marítims,83.0,4,1,None,99.0
23,Avinguda de Peris y Valero,Russafa ,L'Eixample,72.0,2,1,None,127.0
24,calle de Fray Pedro Ponce de Léon,Montolivet ,Quatre Carreres,80.0,3,1,None,120.0
25,calle del Maestro Asensi,Nou Moles ,L'Olivereta,75.0,3,1,None,84.0
26,calle de la Sierra Martés,Benicalap ,Benicalap,75.0,3,1,None,98.0
27,Pobles de L'oest ,Benimàmet ,Pobles de l'Oest,115.0,3,2,None,120.0
28,calle Ramón de Rocafull,El Cabanyal-El Canyamelar ,Poblats Marítims,64.0,3,1,None,79.0
29,Carteros,L'Hort de Senabre ,Jesús,75.0,3,1,None,82.0
1,Cabañal,El Cabanyal-El Canyamelar ,Poblats Marítims,65.0,3,1,None,79.0
4,Carrer del Riu Bidasoa,Torrefiel ,Rascanya,90.0,3,1,None,119.0
5,Avinguda de Campanar,Beniferri ,Pobles de l'Oest,59.0,2,1,None,82.0
6,Carrer de la Isla Cabrera,Malilla ,Quatre Carreres,109.0,3,2,None,129.0
7,calle de Zapadores,Montolivet ,Quatre Carreres,73.0,3,1,None,130.0
8,calle de San Roque,Benicalap ,Benicalap,59.0,1,1,Obra nueva,121.0
9,calle Jose Grollo,Benicalap ,Benicalap,65.0,3,1,None,69.9
10,Carrer de Betxí,Ciutat Fallera ,Benicalap,89.0,3,1,None,79.9
12,calle de San Roque,Benicalap ,Benicalap,59.0,1,1,Obra nueva,119.0
13,calle de San Roque,Benicalap ,Benicalap,59.0,1,1,Obra nueva,110.0
16,calle de Molina,La Xerea ,Ciutat Vella,59.0,3,1,None,70.0
17,Avenida de La Ronda de Natzaret,Natzaret ,Poblats Marítims,59.0,2,1,None,120.0
18,calle de Ángel Villena,Na Rovella ,Quatre Carreres,105.0,3,2,None,129.0
19,Avenida Amado Granell Mesado 'Militar,Montolivet ,Quatre Carreres,80.0,3,1,None,115.0
21,Carrer de la Florista,Benicalap ,Benicalap,70.0,2,1,None,81.9
22,calle de Esquife,Les Tendetes ,Campanar,65.0,2,1,None,75.0
23,calle de la Isla de Hierro,La Malva-rosa ,Poblats Marítims,68.0,3,1,None,75.0
25,calle Peris Celda,Ciutat Fallera ,Benicalap,75.0,3,1,None,49.9
26,calle de Pedro de Luna,La Torre ,Pobles del Sud,68.0,3,1,None,36.0
27,Carrer del Periodista Gil Sumbiela,Benicalap ,Benicalap,80.0,3,1,None,77.0
28,calle de Daroca,Orriols ,Rascanya,60.0,2,1,None,60.0
0,Avenida de Poeta Federico García Lorca,El Forn d'Alcedo ,Pobles del Sud,77.0,2,1,None,73.66
2,calle del Padre Viñas,Orriols ,Rascanya,80.0,3,1,None,68.0
3,Carrer de Higinio Noja 'Professor,La Creu del Grau ,Camins al Grau,70.0,3,1,None,109.9
5,calle de Vicente Brull,El Grau ,Poblats Marítims,63.0,2,1,None,96.0
6,calle Rodriguez de Pertegaz,Gran Via ,L'Eixample,104.0,3,1,None,130.0
7,Carrer de Josep Esteve,Torrefiel ,Rascanya,86.0,3,1,None,95.0
8,Carrer de José Soto Micó,Favara ,Patraix,130.0,4,2,None,120.0
11,San Marcelino,Sant Marcel·lí ,Jesús,98.0,2,2,None,129.0
14,Carrer del General Llorens,Tormos ,La Saïdia,60.0,2,1,None,69.0
15,Poblados del Oeste,Benimàmet ,Pobles de l'Oest,130.0,3,2,None,100.0
