address,district,neighbourhood,sqft_surface,bedrooms,bathrooms,new_construction,price
Piso en calle de los Rosales,Benicalap ,Benicalap,77,3,1,None,65.000
Piso en calle Dr Rodriguez de La Fuente,Torrefiel ,Rascanya,73,3,1,None,68.000
Piso en calle de Elías Tormo,Benimàmet ,Pobles de l'Oest,92,2,1,None,65.000
Piso en calle Valle de Laguar,Les Tendetes ,Campanar,75,3,1,None,93.000
Piso en Carrer de Rubén Vela,Russafa ,L'Eixample,100,3,1,None,104.900
"Apartamento en calle de Ángel Villena, 9",Na Rovella ,Quatre Carreres,95,3,1,None,92.000
Piso en calle del Reverendo Rafael Tramoyeres,Benimaclet ,Benimaclet,80,2,2,None,130.000
Piso en La Creu del Grau,La Creu del Grau ,Camins al Grau,98,3,1,None,115.000
"Piso en calle de Daroca, 7",Orriols ,Rascanya,61,3,1,None,53.000
Piso en Torrefiel,Torrefiel ,Rascanya,92,3,1,None,130.000
"Piso en calle de la Democracia, cerca de Passeig de la Petxina",Nou Moles ,L'Olivereta,95,4,1,None,125.000
"Piso en calle de Esteban Ballester, nº 12",Beteró ,Poblats Marítims,78,4,1,None,115.000
Piso en Torrefiel,Torrefiel ,Rascanya,74,3,1,None,130.000
Piso en Plaça de Ramon Contreras I Mongrell,Orriols ,Rascanya,80,3,1,None,83.700
Piso en Montolivet,Montolivet ,Quatre Carreres,90,3,1,None,119.900
Piso en Benicalap,Benicalap ,Benicalap,77,2,1,None,125.000
Piso en Beteró,Beteró ,Poblats Marítims,86,3,1,None,89.900
Apartamento en calle Carrer de La Mare de Déu del Puig,El Grau ,Poblats Marítims,52,2,1,None,120.000
Piso en None,La Malva-rosa ,Poblats Marítims,70,2,1,None,112.000
Piso en Nou Moles,Nou Moles ,L'Olivereta,112,3,1,None,105.000
Piso en calle Carrer de L''assutzena,Benicalap ,Benicalap,81,2,1,None,99.000
"Piso en Carrer de Llanera de Ranes, nº 8",L'Hort de Senabre ,Jesús,90,3,1,None,105.000
"Piso en Carrer de Domingo Gómez, 3",Torrefiel ,Rascanya,86,4,1,None,85.000
Piso en calle de Gaspar Torrella,Favara ,Patraix,102,3,1,None,97.000
Apartamento en calle del Mondúber,Marxalenes ,La Saïdia,72,3,1,None,59.900
Apartamento en Jesús,Sant Marcel·lí ,Jesús,57,2,1,None,57.000
Piso en La Raiosa,La Raiosa ,Jesús,63,3,1,None,57.663
Piso en calle de Alcañiz,Torrefiel ,Rascanya,91,3,1,None,130.000
Apartamento en El Castellar-L'Oliveral,El Castellar-L'Oliveral ,Pobles del Sud,67,3,1,None,75.000
Piso en Torrefiel,Torrefiel ,Rascanya,4,2,2,None,110.900
