address,district,neighbourhood,sqft_surface,bedrooms,bathrooms,new_construction,price
Dúplex en CIutat de les Arts I de les CIèncIes,Ciutat de les Arts i de les Ciències ,Quatre Carreres,143,3,3,None,390.000
Casa en Malilla,Malilla ,Quatre Carreres,150,4,4,None,399.000
Piso en Avinguda de Sant Josep de la Muntanya,La Petxina ,Extramurs,100,3,2,None,211.000
"Piso en Carrer de Ramón Gordillo, 7",Ciutat Universitària ,El Pla del Real,298,6,4,None,490.000
Apartamento en El Palmar,El Palmar ,Pobles del Sud,3,4,4,None,299.000
"Piso en Carrer de Gibraltar,  15",Russafa ,L'Eixample,97,3,2,Obra nueva,345.000
Piso en La Petxina,La Petxina ,Extramurs,115,3,2,None,268.000
Ático en El Grau,El Grau ,Poblats Marítims,71,2,1,Obra nueva,235.000
Piso en Patraix,Patraix ,Patraix,115,2,1,None,260.000
Piso en Avinguda del Professor López Piñero,Ciutat de les Arts i de les Ciències ,Quatre Carreres,80,2,1,None,270.000
Piso en Sant Francesc,Sant Francesc ,Ciutat Vella,153,3,2,None,330.000
Casa adosada en calle del Pintor Ismael Blat,La Torre ,Pobles del Sud,167,3,2,None,258.000
"Piso en Carrer del Palleter, cerca de Carrer del Dramaturg Àngel Guimerà",Arrancapins ,Extramurs,116,3,2,None,267.000
Piso en Sant Francesc,Sant Francesc ,Ciutat Vella,192,4,3,None,450.000
Piso en La Raiosa,Arrancapins ,Extramurs,4,2,2,None,253.000
"Piso en Carrer del Palleter, cerca de Carrer del Dramaturg Àngel Guimerà",Arrancapins ,Extramurs,113,4,2,None,385.000
Piso en Patraix,Patraix ,Patraix,120,3,2,None,260.000
Piso en Aiora,Aiora ,Camins al Grau,97,3,2,None,275.000
Piso en La Zaidia,Morvedre ,La Saïdia,127,3,2,None,220.000
Piso en calle Alfahuir,Sant Llorenç ,Rascanya,129,3,2,None,329.000
Piso en Sant Llorenç,Sant Llorenç ,Rascanya,114,3,2,None,235.000
Piso en calle Amador Martínez Rochina,Sant Pau ,Campanar,145,3,2,None,395.000
Apartamento en Avenida de Francia,Penya-roja ,Camins al Grau,157,4,2,None,395.000
"Apartamento en Avenida del Puerto, cerca de Calle de la Industria",Aiora ,Camins al Grau,110,4,2,None,340.000
"Chalet en calle de la Reina, 30, cerca de Calle del Doctor Lluch",El Cabanyal-El Canyamelar ,Poblats Marítims,101,4,2,None,274.000
Piso en La Raiosa,La Raiosa ,Jesús,3,1,1,None,300.000
Casa adosada en El Forn d'Alcedo,El Forn d'Alcedo ,Pobles del Sud,209,4,3,None,230.000
Apartamento en Centro de La Ciudad,Sant Pau ,Campanar,120,3,2,None,349.000
Piso en Avinguda de Valladolid,Sant Llorenç ,Rascanya,134,4,2,None,330.000
Piso en Arrancapins,Arrancapins ,Extramurs,100,3,2,None,214.900
