address,district,neighbourhood,sqft_surface,bedrooms,bathrooms,new_construction,price
Piso en Campanar,Campanar ,Campanar,69,3,1,None,119.900
Piso en Nou Moles,Nou Moles ,L'Olivereta,95,4,1,None,110.000
Piso en El Perellonet,El Perellonet ,Pobles del Sud,81,3,2,None,76.000
Piso en L'Hort de Senabre,L'Hort de Senabre ,Jesús,93,4,2,None,120.000
Piso en El Perellonet,El Perellonet ,Pobles del Sud,81,3,2,None,76.000
Piso en Trinitat,Trinitat ,La Saïdia,75,4,1,None,109.000
Piso en Nou Moles,Nou Moles ,L'Olivereta,95,4,1,None,110.000
"Piso en calle de Francisco Moreno Usedo, nº 36",Nou Moles ,L'Olivereta,72,4,1,None,110.000
Piso en En Corts,En Corts ,Quatre Carreres,98,3,1,None,105.000
Piso en Patraix,Patraix ,Patraix,67,3,1,None,119.000
"Piso en calle de Rodrigo de Pertegás, 8",La Creu del Grau ,Camins al Grau,68,3,1,None,110.000
Piso en Torrefiel,Torrefiel ,Rascanya,53,3,1,None,98.900
Piso en Sant Marcel·lí,Sant Marcel·lí ,Jesús,90,4,2,None,105.000
Piso en Nou Moles,Nou Moles ,L'Olivereta,102,4,2,None,125.000
Piso en Natzaret,Natzaret ,Poblats Marítims,71,3,1,None,77.000
Piso en El Perellonet,El Perellonet ,Pobles del Sud,81,3,2,None,76.000
Piso en Torrefiel,Torrefiel ,Rascanya,80,3,1,None,96.000
Piso en Benicalap,Benicalap ,Benicalap,106,4,2,None,120.000
Piso en L'Hort de Senabre,L'Hort de Senabre ,Jesús,93,4,2,None,120.000
Piso en La Torre,La Torre ,Pobles del Sud,108,4,2,None,119.900
Piso en Torrefiel,Torrefiel ,Rascanya,80,3,1,None,96.000
Piso en Ciutat Fallera,Ciutat Fallera ,Benicalap,71,3,2,None,114.000
Piso en Benicalap,Benicalap ,Benicalap,70,3,1,None,99.000
Piso en Aiora,Aiora ,Camins al Grau,77,2,1,None,95.000
Piso en Benicalap,Benicalap ,Benicalap,80,3,1,None,104.000
Piso en Sant Llorenç,Sant Llorenç ,Rascanya,70,3,1,None,85.000
Piso en Ciutat Fallera,Ciutat Fallera ,Benicalap,71,3,2,None,114.000
Piso en Patraix,Patraix ,Patraix,67,3,1,None,119.000
Piso en Benicalap,Benicalap ,Benicalap,56,3,1,None,83.000
Piso en Fonteta de Sant Lluís,Fonteta de Sant Lluís ,Quatre Carreres,85,3,1,None,85.000
