address,district,neighbourhood,sqft_surface,bedrooms,bathrooms,new_construction,price
"Piso en Avinguda del CID, nº 18",Patraix ,Patraix,190,4,2,None,206.300
Piso en Avinguda de Valladolid,Benimaclet ,Benimaclet,114,4,2,None,175.000
Piso en El Grau,El Grau ,Poblats Marítims,91,3,2,None,195.000
Piso en Les Tendetes,Les Tendetes ,Campanar,70,4,1,None,135.000
Piso en La Raiosa,La Raiosa ,Jesús,113,4,2,None,150.000
Piso en La Raiosa,La Raiosa ,Jesús,127,3,2,None,160.000
Piso en Beniferri,Sant Pau ,Campanar,101,2,1,None,207.000
"Piso en calle del Duque de Gaeta, nº 51",Beteró ,Poblats Marítims,68,3,1,None,146.000
"Piso en calle Fernando Casanova Benlloch, nº 5",Campanar ,Campanar,128,3,2,None,196.000
Piso en Faitanar,Faitanar ,Pobles del Sud,96,3,2,None,150.000
Piso en Benicalap,Benicalap ,Benicalap,106,4,2,None,120.000
"Piso en calle de Vicente Brull, nº 41",El Cabanyal-El Canyamelar ,Poblats Marítims,89,3,1,None,180.000
Piso en Sant Pau,Sant Pau ,Campanar,72,3,2,None,130.024
"Piso en Avenida de las Gaviotas, nº 275",El Perellonet ,Pobles del Sud,75,2,1,None,120.000
Piso en Torrefiel,Torrefiel ,Rascanya,71,3,1,None,135.000
"Piso en Avenida del Primado Reig, nº 1",Sant Antoni ,La Saïdia,129,4,2,None,215.000
Piso en Benicalap,Benicalap ,Benicalap,58,1,1,None,121.000
Ático en Algirós,Aiora ,Camins al Grau,45,1,1,None,153.000
"Piso en Carrer de Cavite, nº 19",La Malva-rosa ,Poblats Marítims,115,3,2,None,200.000
"Piso en calle de Na Rovella, 1",Malilla ,Quatre Carreres,None,2,5ª planta,None,170.000
"Piso en calle de la Vila de Muro, 6",Benimaclet ,Benimaclet,None,2,1ª planta,None,175.000
"Piso en Carrer de la Miraculosa, 34",El Carme ,Ciutat Vella,100,4,1,None,149.000
Piso en La Creu del Grau,La Creu del Grau ,Camins al Grau,73,3,1,None,140.850
"Piso en Carrer del Vinalopó, nº 9",La Bega Baixa ,Algirós,136,4,2,None,210.000
"Piso en calle de Cuenca, 116",Patraix ,Patraix,100,2,1,None,155.000
Piso en Sant Pau,Sant Pau ,Campanar,54,1,1,None,137.093
"Estudio en Avenida de los Hermanos Machado, nº 7",Sant Llorenç ,Rascanya,None,1,6ª planta,None,135.000
Piso en Camí Real,Camí Real ,Jesús,76,2,1,None,128.000
Piso en El Grau,El Grau ,Poblats Marítims,122,4,2,None,216.000
Piso en La Raiosa,La Raiosa ,Jesús,99,3,1,None,140.000
