address,district,neighbourhood,sqft_surface,bedrooms,bathrooms,new_construction,price
Piso en Avenida de Aragón,Mestalla ,El Pla del Real,None,2,"3.272
 €/m²",None,360.000
Piso en Russafa,Russafa ,L'Eixample,103,3,2,None,335.000
Piso en Russafa,Russafa ,L'Eixample,100,3,2,None,219.000
Piso en Sant Francesc,Sant Francesc ,Ciutat Vella,200,6,2,None,374.000
"Apartamento en Avenida Giorgeta, 14",La Raiosa ,Jesús,175,4,3,None,255.000
Piso en Carrer de l'Historiador Diago,Arrancapins ,Extramurs,75,2,1,None,225.000
Piso en Carrer de Baix,El Carme ,Ciutat Vella,136,2,1,None,231.990
Piso en Extramurs,El Botànic ,Extramurs,138,3,2,None,263.000
Dúplex en calle Carrer D''ernest Anastasio,El Cabanyal-El Canyamelar ,Poblats Marítims,111,5,2,None,253.000
Piso en Pasaje Doctor Bartual Moret,Ciutat Universitària ,El Pla del Real,105,4,1,None,269.900
Dúplex en Camino Viejo de Alboraya,Sant Llorenç ,Rascanya,75,3,2,None,240.000
Piso en Sant Francesc,Sant Francesc ,Ciutat Vella,140,3,2,None,300.000
Piso en Benimaclet,Benimaclet ,Benimaclet,122,3,2,None,370.000
Piso en Arrancapins,Arrancapins ,Extramurs,136,4,2,None,260.000
Casa adosada en El Perellonet,El Perellonet ,Pobles del Sud,187,3,2,None,245.000
"Piso en Carrer del Dramaturg Àngel Guimerà, cerca de Carrer de l' Heroi Romeu",Arrancapins ,Extramurs,167,3,2,None,230.000
Piso en Ciutat Jardí,Ciutat Jardí ,Algirós,150,4,2,None,309.000
Piso en Ciutat Jardí,Ciutat Jardí ,Algirós,134,4,2,None,310.000
Piso en Avenida Giorgeta,La Raiosa ,Jesús,134,3,2,None,245.000
Piso en Arrancapins,Arrancapins ,Extramurs,153,4,2,None,285.000
Piso en Penya-roja,Penya-roja ,Camins al Grau,125,3,2,None,480.000
Piso en Penya-roja,Penya-roja ,Camins al Grau,120,3,2,None,350.000
Casa pareada en El Forn d'Alcedo,El Forn d'Alcedo ,Pobles del Sud,209,4,3,None,230.000
Piso en Penya-Roja,Penya-roja ,Camins al Grau,103,2,2,None,305.000
Chalet en El Perellonet,El Perellonet ,Pobles del Sud,4,2,2,None,450.000
Piso en El Carme,El Carme ,Ciutat Vella,110,6,2,None,250.000
Piso en Vara de Quart,Vara de Quart ,Patraix,200,3,2,None,410.000
Piso en El Mercat,El Mercat ,Ciutat Vella,100,1,2,None,397.000
"Piso en Carrer de Jesús, cerca de Carrer de Maluquer",Arrancapins ,Extramurs,None,2,"2.393
 €/m²",None,280.000
Piso en Sant Francesc,Sant Francesc ,Ciutat Vella,160,5,3,None,399.000
