address,district,neighbourhood,sqft_surface,bedrooms,bathrooms,new_construction,price
Piso en Arrancapins,Arrancapins ,Extramurs,160,5,2,None,317.000
Ático en Russafa,Russafa ,L'Eixample,100,2,1,None,324.900
Piso en Patraix,Patraix ,Patraix,115,3,2,None,260.000
Piso en La Bega Baixa,La Bega Baixa ,Algirós,113,4,2,None,250.000
Piso en La Roqueta,La Roqueta ,Extramurs,187,3,1,None,233.750
Piso en La Xerea,La Xerea ,Ciutat Vella,37,1,1,None,230.000
Piso en Mestalla,Mestalla ,El Pla del Real,115,3,2,None,365.000
Piso en Valencia,Arrancapins ,Extramurs,241,3,3,None,516.104
Piso en Russafa,Russafa ,L'Eixample,86,3,2,None,279.950
Piso en Ciutat Universitària,Ciutat Universitària ,El Pla del Real,108,4,2,None,290.000
Piso en Campanar,Campanar ,Campanar,110,4,2,None,220.000
Ático en El Grau,El Grau ,Poblats Marítims,90,3,2,None,360.000
Piso en El Botànic,El Botànic ,Extramurs,140,"2.642
 €/m²","2.642
 €/m²",None,370.000
Piso en El Grau,El Grau ,Poblats Marítims,97,3,2,None,301.000
Piso en Russafa,Russafa ,L'Eixample,89,3,2,None,236.900
Piso en Valencia,Sant Llorenç ,Rascanya,103,2,2,None,346.800
Piso en El Cabanyal-El Canyamelar,El Cabanyal-El Canyamelar ,Poblats Marítims,101,3,2,None,270.000
"Piso en Carrer de Llevant,  s/n",Benicalap ,Benicalap,100,2,2,Obra nueva,219.299
Piso en Ciutat Universitària,Ciutat Universitària ,El Pla del Real,92,4,2,None,315.000
Piso en Penya-roja,Penya-roja ,Camins al Grau,190,7,3,None,250.000
"Piso en calle del Camp del Túria, 30",Sant Pau ,Campanar,173,3,2,Obra nueva,489.000
Ático en El Cabanyal-El Canyamelar,El Cabanyal-El Canyamelar ,Poblats Marítims,140,5,2,None,244.000
Piso en Russafa,Russafa ,L'Eixample,141,5,2,None,339.900
Piso en La Raiosa,La Raiosa ,Jesús,140,4,2,None,240.000
Piso en El Carme,El Carme ,Ciutat Vella,99,3,2,None,240.000
Piso en Penya-roja,Penya-roja ,Camins al Grau,119,2,2,None,390.000
Piso en Valencia,Tormos ,La Saïdia,145,3,2,None,255.000
Chalet en Benimàmet,Benimàmet ,Pobles de l'Oest,145,3,2,None,345.000
Ático en La Xerea,La Xerea ,Ciutat Vella,86,2,1,None,375.000
Ático en Nou Moles,Nou Moles ,L'Olivereta,109,3,2,None,259.900
