address,district,neighbourhood,sqft_surface,bedrooms,bathrooms,new_construction,price
"Piso en calle del Progreso, cerca de Calle del Padre Luis Navarro",El Cabanyal-El Canyamelar ,Poblats Marítims,43,1,1,None,129.000
Piso en calle del Humanista Honorato Juan,Arrancapins ,Extramurs,91,2,1,None,225.000
Casa en Borboto - Zona Ayuntamiento,Borbotó ,Pobles del Nord,290,4,1,None,130.000
Piso en Campanar,Campanar ,Campanar,113,3,2,None,174.900
Piso en La Creu del Grau,La Creu del Grau ,Camins al Grau,98,3,1,None,120.000
Casa adosada en Pobles del Sud - El Perellonet,El Perellonet ,Pobles del Sud,130,3,2,None,225.000
Piso en La Creu Coberta,L'Hort de Senabre ,Jesús,94,3,2,None,158.000
Apartamento en Rascanya,Torrefiel ,Rascanya,114,4,2,None,165.000
Piso en calle Jj Dómine,El Grau ,Poblats Marítims,100,3,2,None,185.000
Piso en Patraix,Patraix ,Patraix,110,3,2,None,175.000
Piso en Carrer Pego,Benimàmet ,Pobles de l'Oest,112,3,2,None,127.900
Piso en Avinguda de Manuel Colomer Marco,Favara ,Patraix,104,3,2,None,145.000
Apartamento en calle de José María Haro,L'Illa Perduda ,Algirós,106,3,2,None,228.000
Piso en Aiora,Aiora ,Camins al Grau,105,4,1,None,139.000
"Piso en Carrer de Cuba, cerca de Carrer de Puerto Rico",Russafa ,L'Eixample,50,1,1,None,125.000
Piso en Aiora,Aiora ,Camins al Grau,140,4,2,None,175.000
"Piso en Plaza del Miracle del Mocadoret, 10",La Seu ,Ciutat Vella,79,2,1,None,225.000
Piso en calle del Castillo de Benisanó,Nou Moles ,L'Olivereta,91,2,1,None,155.000
"Piso en Avinguda del CID, cerca de Calle de la Virgen de la Salud",Nou Moles ,L'Olivereta,140,4,2,None,170.000
"Piso en Avenida de Francia,  159",El Grau ,Poblats Marítims,91,3,2,Obra nueva,195.000
Apartamento en El Saler,El Saler ,Pobles del Sud,69,2,1,None,125.000
Piso en Aiora,Aiora ,Camins al Grau,112,4,2,None,165.000
Piso en Gran Vía de Ramón y Cajal,Arrancapins ,Extramurs,136,4,2,None,215.000
Piso en Carrer de l'Enginyer Fausto Elio,La Malva-rosa ,Poblats Marítims,65,2,2,None,165.000
Piso en Na Rovella,Na Rovella ,Quatre Carreres,96,3,2,None,129.000
"Piso en Avinguda del CID, cerca de Calle de Chiva",Patraix ,Patraix,110,3,2,None,230.000
Piso en Na Rovella,Na Rovella ,Quatre Carreres,96,3,2,None,129.000
Piso en Trinitat,Trinitat ,La Saïdia,64,2,1,None,165.000
"Piso en calle de Fuencaliente, 9",La Creu del Grau ,Camins al Grau,73,3,1,None,140.850
"Piso en calle de La Puebla del Duc, nº 3",Morvedre ,La Saïdia,83,3,1,None,132.500
