address,district,neighbourhood,sqft_surface,bedrooms,bathrooms,new_construction,price
Piso en Nou Moles,Nou Moles ,L'Olivereta,84,2,1,None,126.000
Finca rústica en calle del Horno de Alcedo,El Forn d'Alcedo ,Pobles del Sud,4.658,"10
 €/m²","10
 €/m²",None,49.500
Piso en Arrancapins,Arrancapins ,Extramurs,74,1,1,None,118.000
Piso en Arrancapins,Arrancapins ,Extramurs,74,1,1,None,118.000
Piso en Sant Marcel·lí,Sant Marcel·lí ,Jesús,101,3,2,None,132.000
Piso en Benimaclet,Benimaclet ,Benimaclet,51,1,1,None,79.000
Piso en El Mercat,El Mercat ,Ciutat Vella,25,1,1,None,113.000
"Piso en calle del Reverendo José Noguera, nº 33",Sant Marcel·lí ,Jesús,None,2,4ª planta,None,132.000
Piso en Orriols,Orriols ,Rascanya,75,1,1,None,58.500
"Piso en calle de Antella, 2",Tres Forques ,L'Olivereta,44,1,1,None,49.500
Casa en Valencia,Sant Pau ,Campanar,98,3,1,None,119.398
Piso en Arrancapins,Arrancapins ,Extramurs,74,1,1,None,118.000
Piso en Tres Forques,Tres Forques ,L'Olivereta,None,6ª planta,"1.268
 €/m²",None,104.000
Piso en Aiora,Aiora ,Camins al Grau,89,2,1,None,129.900
Piso en En Corts,En Corts ,Quatre Carreres,83,2,1,None,129.990
Piso en Sant Marcel·lí,Sant Marcel·lí ,Jesús,101,"1.148
 €/m²","1.148
 €/m²",None,116.000
Casa en Sant Pau,Sant Pau ,Campanar,99,3,1,None,119.398
Piso en Russafa,Russafa ,L'Eixample,57,1,1,None,115.000
Piso en calle de la Almudaina,La Creu Coberta ,Jesús,74,"1.081
 €/m²","1.081
 €/m²",None,80.000
Piso en Valencia,Mauella ,Pobles del Nord,57,1,1,None,53.000
Casa en Sant Antoni,Sant Antoni ,La Saïdia,120,2,1,None,75.000
Piso en Arrancapins,Arrancapins ,Extramurs,74,1,1,None,118.000
Estudio en La Petxina,La Petxina ,Extramurs,45,1,1,None,100.000
Casa adosada en Albaida,Torrefiel ,Rascanya,214,3,2,None,66.074
Piso en Valencia,La Creu del Grau ,Camins al Grau,70,1,1,None,109.628
Piso en Mestalla,Mestalla ,El Pla del Real,None,2ª planta,"1.644
 €/m²",None,125.000
"Casa en calle de la Democracia, nº 36",El Botànic ,Extramurs,None,1,"985
 €/m²",None,69.000
