address,district,neighbourhood,sqft_surface,bedrooms,bathrooms,new_construction,price
Ático en La Raiosa,La Raiosa ,Jesús,200,4,2,None,395.000
"Chalet en calle de las Dunas, 11",El Perellonet ,Pobles del Sud,264,7,3,None,455.000
Piso en Jesus-Hort de Senabre,L'Hort de Senabre ,Jesús,120,4,2,None,230.000
Piso en V-Centro,El Mercat ,Ciutat Vella,99,2,1,None,265.000
Piso en V-Av.Cid,Tres Forques ,L'Olivereta,101,3,2,None,229.000
Piso en calle Músico Maestro Rodrigo,Campanar ,Campanar,135,3,2,None,350.000
Piso en Extramurs,La Petxina ,Extramurs,151,4,2,None,290.000
Piso en Eixample-Ruzafa,Russafa ,L'Eixample,125,4,2,None,255.000
Piso en V-Av Aragon/Blasco Ibañez,L'Amistat ,Algirós,109,2,2,None,290.000
Piso en V-Av Aragon/Blasco Ibañez,L'Amistat ,Algirós,109,2,2,None,290.000
"Piso en Carrer de Jesús, 47, cerca de Plaza del Pintor José Segrelles",Arrancapins ,Extramurs,160,5,1,None,330.000
Piso en Sant Pau,Sant Pau ,Campanar,140,3,2,None,335.000
Piso en V-Centro,El Mercat ,Ciutat Vella,95,4,1,None,274.000
Piso en El Pla del Remei,El Pla del Remei ,L'Eixample,122,4,2,None,380.000
Piso en Plaza de Vicente Iborra,El Carme ,Ciutat Vella,176,5,3,None,310.000
Piso en V-Campanar,Campanar ,Campanar,90,3,2,None,310.000
Casa en Orriols,Orriols ,Rascanya,415,6,2,None,400.000
Piso en calle Carrer de Lermita de Sant Jaume,La Seu ,Ciutat Vella,135,3,2,None,392.000
Ático en En Corts,En Corts ,Quatre Carreres,73,2,2,None,270.000
Piso en V-Benimaclet,Benimaclet ,Benimaclet,110,4,2,None,220.000
Piso en V-Centro,El Mercat ,Ciutat Vella,75,1,1,None,215.000
Piso en calle Cura Planelles,Gran Via ,L'Eixample,168,3,3,None,350.000
Ático en Algirós,La Bega Baixa ,Algirós,170,3,2,None,465.000
Piso en Benicalap,Beniferri ,Pobles de l'Oest,115,3,2,None,320.000
Piso en V-Centro,El Mercat ,Ciutat Vella,75,1,1,None,215.000
Ático en V-Cabañal,El Cabanyal-El Canyamelar ,Poblats Marítims,92,3,2,None,390.000
Piso en El Pilar,El Pilar ,Ciutat Vella,130,3,2,None,365.000
Piso en V-Ruzafa,Russafa ,L'Eixample,100,3,2,None,279.990
Piso en V-Ruzafa,Russafa ,L'Eixample,165,4,2,None,285.000
Piso en Plaza del Mercado,El Mercat ,Ciutat Vella,139,3,2,None,290.000
