address,district,neighbourhood,sqft_surface,bedrooms,bathrooms,new_construction,price
Piso en L'Hort de Senabre,L'Hort de Senabre ,Jesús,60,2,1,None,115.000
Piso en Sant Llorenç,Sant Llorenç ,Rascanya,58,3,1,None,69.000
"Piso en calle de Joaquín Navarro, 26",La Creu Coberta ,Jesús,70,2,1,None,84.000
Piso en Benimàmet,Benimàmet ,Pobles de l'Oest,97,4,2,None,84.900
Apartamento en Patraix,Patraix ,Patraix,66,2,1,None,110.000
Piso en La Punta,La Punta ,Quatre Carreres,105,3,1,None,129.000
Piso en La Raiosa,La Raiosa ,Jesús,103,2,1,None,110.000
Piso en Carrer del Poeta Iranzo Simon,El Carme ,Ciutat Vella,65,3,1,None,54.000
Piso en La Fontsanta-Tres Forques,La Fontsanta ,L'Olivereta,75,2,1,None,57.000
Piso en calle Ep Barraques de Llacer 3,Faitanar ,Pobles del Sud,92,3,2,None,117.000
"Piso en Plaza de Covadonga, nº 2",Sant Francesc ,Ciutat Vella,2,1,1,None,70.500
Piso en La Fontsanta,La Fontsanta ,L'Olivereta,66,2,1,None,40.990
Piso en Torrefiel,Torrefiel ,Rascanya,75,2,1,None,89.000
Casa en Benimaclet,Camí de Vera ,Benimaclet,51,2,1,None,79.000
Piso en Favara,Favara ,Patraix,108,3,2,None,107.100
Piso en El Saler,El Saler ,Pobles del Sud,61,2,1,None,125.000
Piso en Torrefiel,Torrefiel ,Rascanya,68,3,1,None,39.000
Piso en Benicalap,Benicalap ,Benicalap,90,2,2,None,99.000
"Piso en calle de Vicente Brull, cerca de Calle Rio Sil",El Cabanyal-El Canyamelar ,Poblats Marítims,86,3,1,None,90.000
"Apartamento en calle de los Hierros, nº 7",Aiora ,Camins al Grau,91,3,2,None,129.900
"Piso en calle de Jumilla, 12",Tres Forques ,L'Olivereta,71,3,1,None,58.000
Piso en Benicalap,Benicalap ,Benicalap,63,3,1,None,62.500
Apartamento en Benimàmet,Benimàmet ,Pobles de l'Oest,109,4,2,None,99.900
Piso en Favara,Favara ,Patraix,80,2,1,None,59.000
Piso en Beteró,Beteró ,Poblats Marítims,90,3,1,None,110.000
"Piso en Avinguda de Burjasot, cerca de Calle de Emilio Roig",Benicalap ,Benicalap,100,3,1,None,119.000
Apartamento en Rascanya,Orriols ,Rascanya,90,3,1,None,103.000
Piso en Benicalap,Ciutat Fallera ,Benicalap,80,3,1,None,75.000
Piso en Sant Antoni,Sant Antoni ,La Saïdia,85,3,1,None,106.000
Piso en Sant Pau,Sant Pau ,Campanar,65,2,1,None,65.000
