address,district,neighbourhood,sqft_surface,bedrooms,bathrooms,new_construction,price
Piso en Mestalla,Mestalla ,El Pla del Real,114,3,2,None,399.900
"Piso en Carrer de Llevant,  s/n",Benicalap ,Benicalap,108,3,2,Obra nueva,238.385
"Piso en Carrer de Llevant,  s/n",Benicalap ,Benicalap,134,4,2,Obra nueva,265.664
"Piso en Avinguda de Pérez Galdós, 33",Patraix ,Patraix,186,4,3,Obra nueva,410.000
"Piso en Avenida de los Hermanos Machado,  s/n",Benicalap ,Benicalap,109,3,2,Obra nueva,234.000
"Piso en Avenida de los Hermanos Machado,  s/n",Benicalap ,Benicalap,133,4,2,Obra nueva,276.000
"Dúplex en Avinguda Alcalde Gisbert Rico,  s/n",Ciutat de les Arts i de les Ciències ,Quatre Carreres,157,3,2,Obra nueva,430.000
"Piso en Avinguda Alcalde Gisbert Rico,  s/n",Ciutat de les Arts i de les Ciències ,Quatre Carreres,136,3,2,Obra nueva,324.000
"Piso en Avenida de los Hermanos Machado,  s/n",Benicalap ,Benicalap,128,4,2,Obra nueva,263.000
"Piso en Avenida de los Hermanos Machado,  s/n",Benicalap ,Benicalap,104,3,2,Obra nueva,237.000
"Piso en Avinguda Alcalde Gisbert Rico,  s/n",Ciutat de les Arts i de les Ciències ,Quatre Carreres,141,3,2,Obra nueva,323.000
"Dúplex en Avinguda Alcalde Gisbert Rico,  s/n",Ciutat de les Arts i de les Ciències ,Quatre Carreres,152,3,2,Obra nueva,479.000
"Piso en Avenida de los Hermanos Machado,  s/n",Benicalap ,Benicalap,121,4,2,Obra nueva,270.000
"Piso en Avenida de los Hermanos Machado,  s/n",Benicalap ,Benicalap,118,4,2,Obra nueva,260.000
Piso en Torrefiel,Orriols ,Rascanya,120,4,2,None,215.000
"Dúplex en Avinguda Alcalde Gisbert Rico,  s/n",Ciutat de les Arts i de les Ciències ,Quatre Carreres,152,3,2,Obra nueva,414.000
"Piso en Avinguda Alcalde Gisbert Rico,  s/n",Ciutat de les Arts i de les Ciències ,Quatre Carreres,141,3,2,Obra nueva,326.000
Piso en Ciutat Vella-La Xerea,La Xerea ,Ciutat Vella,90,3,2,None,237.000
Piso en Patraix,Patraix ,Patraix,156,3,2,None,236.000
"Piso en calle Ernest Anastasio,  7-9",El Grau ,Poblats Marítims,108,2,2,Obra nueva,215.000
"Piso en calle Ernest Anastasio,  7-9",El Grau ,Poblats Marítims,108,2,2,Obra nueva,210.000
"Piso en Avinguda Alcalde Gisbert Rico,  s/n",Ciutat de les Arts i de les Ciències ,Quatre Carreres,141,3,2,Obra nueva,320.000
"Piso en Avenida de los Hermanos Machado,  s/n",Benicalap ,Benicalap,112,3,2,Obra nueva,224.000
Piso en Eixample-Ruzafa,Russafa ,L'Eixample,129,5,2,None,375.000
"Piso en Avenida de los Hermanos Machado,  s/n",Benicalap ,Benicalap,105,3,2,Obra nueva,228.500
"Piso en calle Ernest Anastasio,  7-9",El Grau ,Poblats Marítims,93,2,2,Obra nueva,212.000
"Piso en Avinguda Alcalde Gisbert Rico,  s/n",Ciutat de les Arts i de les Ciències ,Quatre Carreres,141,3,2,Obra nueva,332.000
Piso en Patraix,Patraix ,Patraix,180,4,3,None,240.000
Piso en Pataix-San Isidro,Sant Isidre ,Patraix,142,4,2,None,215.000
"Piso en Carrer de Llevant,  s/n",Benicalap ,Benicalap,108,3,2,Obra nueva,229.367
