address,district,neighbourhood,sqft_surface,bedrooms,bathrooms,new_construction,price
"Apartamento en calle de la Alquería de Benimassot, 24",Camí Real ,Jesús,102,3,2,None,124.100
"Piso en calle de San Roque,  2",Benicalap ,Benicalap,96,2,2,Obra nueva,160.000
"Piso en Carretera de Malilla, cerca de Carrer de la Isla Cabrera",En Corts ,Quatre Carreres,100,3,1,None,165.000
Piso en calle de Ramiro de Maeztu,Aiora ,Camins al Grau,91,3,1,None,125.000
Piso en Plaza de Segovia,L'Hort de Senabre ,Jesús,95,2,1,None,120.000
Piso en calle Doctor J J Domine,La Malva-rosa ,Poblats Marítims,100,4,2,None,189.000
Casa en El Cabanyal-El Canyamelar,El Cabanyal-El Canyamelar ,Poblats Marítims,110,3,3,None,225.000
Piso en calle de Luis Lamarca,Nou Moles ,L'Olivereta,74,2,1,None,123.000
"Piso en calle de Orihuela,  37",Morvedre ,La Saïdia,122,3,2,Obra nueva,195.000
"Piso en Avenida de la Constitución, cerca de Carrer de Sant Joan Bosco",Orriols ,Rascanya,154,3,2,None,159.999
Piso en El Cabanyal-El Canyamelar,El Cabanyal-El Canyamelar ,Poblats Marítims,61,3,1,None,170.000
Apartamento en calle de los Leones,Ciutat Jardí ,Algirós,105,4,2,None,160.000
"Piso en calle de Escalante, cerca de Carrer del Doctor Juan José Dómine",El Cabanyal-El Canyamelar ,Poblats Marítims,123,3,2,None,210.000
"Piso en Avenida de la Constitución, cerca de Camino de Montcada",Sant Antoni ,La Saïdia,118,2,2,None,130.000
Piso en calle de Villahermosa,Montolivet ,Quatre Carreres,102,4,1,None,165.000
Apartamento en calle de Noguera,Aiora ,Camins al Grau,88,3,1,None,175.000
"Piso en Avenida del Puerto, cerca de Calle de José Aguilar",Aiora ,Camins al Grau,114,3,2,None,195.000
Piso en Albors,Albors ,Camins al Grau,105,3,2,None,210.000
Piso en calle de Francisco Cubells,El Grau ,Poblats Marítims,102,3,2,None,180.000
Piso en La Carrasca,La Carrasca ,Algirós,78,3,1,None,165.000
"Piso en calle de los Santos Justo y Pastor, cerca de Carrer del Poeta Mas i Ros",Ciutat Jardí ,Algirós,95,4,2,None,195.000
Piso en Ciutat Fallera,Ciutat Fallera ,Benicalap,100,3,2,None,180.000
Apartamento en Jesús,La Raiosa ,Jesús,93,2,2,None,147.900
Piso en La Malvarrosa,El Grau ,Poblats Marítims,106,4,2,None,185.000
"Apartamento en Carrer del Pintor Gisbert, nº 18",Russafa ,L'Eixample,91,4,1,None,215.000
"Piso en Avenida de Gaspar Aguilar, cerca de Calle de José Zaragoza",Patraix ,Patraix,100,3,1,None,145.000
"Apartamento en calle de Pedro de Valencia, 19",Beteró ,Poblats Marítims,103,1,1,None,152.298
Piso en La Malvarrosa,La Malva-rosa ,Poblats Marítims,3,1,1,None,192.000
"Piso en Carrer de San Vicente Mártir, cerca de Carrer del Marquès de Bellet",L'Hort de Senabre ,Jesús,162,4,2,None,174.950
Piso en calle de Bello,El Grau ,Poblats Marítims,80,3,1,None,130.000
