address,district,neighbourhood,sqft_surface,bedrooms,bathrooms,new_construction,price
Ático en calle Dr Lluch,El Cabanyal-El Canyamelar ,Poblats Marítims,63,1,1,None,126.000
Piso en Malilla,Malilla ,Quatre Carreres,100,3,1,None,199.900
Piso en Campanar,Campanar ,Campanar,85,2,2,None,165.000
Piso en Passeig de l'Albereda,Penya-roja ,Camins al Grau,50,1,3ª planta,None,130.000
Piso en calle calle Trasatlántico,Les Tendetes ,Campanar,73,4,1,None,135.000
Piso en calle de Leandro de Saralegui,La Bega Baixa ,Algirós,62,2,1,None,185.000
Piso en El Cabanyal-El Canyamelar,El Cabanyal-El Canyamelar ,Poblats Marítims,107,4,2,None,139.000
Piso en Malilla,Malilla ,Quatre Carreres,80,3,1,None,139.000
Piso en calle de Molinell,Ciutat Universitària ,El Pla del Real,65,2,1,None,165.000
Apartamento en Ciutat Vella,La Xerea ,Ciutat Vella,80,2,1,None,200.000
"Dúplex en calle de Giménez y Costa, cerca de Calle de Hellín",La Torre ,Pobles del Sud,223,4,2,None,165.500
Piso en Sant Isidre,Sant Isidre ,Patraix,113,3,2,None,170.000
Piso en calle de Velázquez,Nou Moles ,L'Olivereta,123,4,2,None,124.000
Piso en calle de Millares,La Raiosa ,Jesús,91,3,2,None,145.000
Piso en calle de Pelayo,Sant Francesc ,Ciutat Vella,85,2,2,None,188.500
Piso en Benicalap,Benicalap ,Benicalap,150,3,2,None,199.900
"Apartamento en Avinguda del Cardenal Benlloch, cerca de Calle de los Santos Justo y Pastor",Mestalla ,El Pla del Real,137,7,2,None,210.000
Piso en Beniferri,Beniferri ,Pobles de l'Oest,104,4,1,None,195.000
Piso en calle de Molinell,Ciutat Universitària ,El Pla del Real,70,2,1,None,165.000
"Piso en Carrer Illes Canàries, cerca de Calle de Siete Aguas",El Grau ,Poblats Marítims,102,4,1,None,125.000
Piso en calle de Isaac Peral,El Grau ,Poblats Marítims,62,3,1,None,195.000
Piso en calle de Montán,El Cabanyal-El Canyamelar ,Poblats Marítims,99,4,1,None,160.000
Piso en Aiora,Aiora ,Camins al Grau,97,3,2,None,150.000
Piso en calle de José María Haro,L'Illa Perduda ,Algirós,105,3,2,None,205.000
Piso en El Pilar,El Pilar ,Ciutat Vella,125,4,1,None,180.000
Piso en calle del Río Pisuerga,La Malva-rosa ,Poblats Marítims,111,3,2,None,175.000
Piso en calle de Ángel Villena,Ciutat de les Arts i de les Ciències ,Quatre Carreres,108,3,2,None,129.000
Piso en La Raiosa,La Raiosa ,Jesús,107,3,2,None,189.000
"Piso en calle de Vicente Brull, cerca de Calle del Maestro de Obras Francisco Baldomar",El Grau ,Poblats Marítims,109,3,2,None,196.900
Piso en El Cabanyal-El Canyamelar,El Cabanyal-El Canyamelar ,Poblats Marítims,3,2,2,None,199.000
