address,district,neighbourhood,sqft_surface,bedrooms,bathrooms,new_construction,price
"Piso en Avenida de la Constitución, cerca de Calle de Santiago Rusiñol",Orriols ,Rascanya,71,2,1,None,79.900
"Piso en calle de Ador, nº 10",El Castellar-L'Oliveral ,Pobles del Sud,73,3,1,None,45.500
Piso en calle Carrer del Rosari,El Cabanyal-El Canyamelar ,Poblats Marítims,70,2,1,None,118.000
"Piso en calle del Humanista Mariner, 6",Patraix ,Patraix,99,3,1,None,119.000
"Piso en Carrer del Marquès de Montortal, cerca de Carrer del Comte de Torrefiel",Torrefiel ,Rascanya,70,3,1,None,99.900
Piso en El Cabanyal-El Canyamelar,El Cabanyal-El Canyamelar ,Poblats Marítims,67,2,1,None,130.000
Piso en Benimàmet,Benimàmet ,Pobles de l'Oest,80,3,1,None,60.000
Piso en Sant Marcel·lí,Sant Marcel·lí ,Jesús,91,3,2,None,127.000
"Piso en Carrer de Mesana, nº 5",El Perellonet ,Pobles del Sud,70,3,1,None,125.000
Piso en calle de Alcañiz,Torrefiel ,Rascanya,99,4,1,None,55.000
"Apartamento en Avinguda de Manuel Colomer Marco, 16",Camí Real ,Jesús,81,3,1,None,65.575
Piso en calle del Pastor Aycart,El Castellar-L'Oliveral ,Pobles del Sud,79,3,1,None,48.000
Piso en calle de Daroca,Orriols ,Rascanya,65,2,1,None,65.000
Piso en calle del Músico Cabanilles,Sant Marcel·lí ,Jesús,74,2,1,None,73.820
Apartamento en Benicalap,Benicalap ,Benicalap,60,1,1,None,124.000
"Ático en Carrer de les Alqueríes de Bellver, 83, cerca de Carrer de la Florista",Benicalap ,Benicalap,57,2,1,None,69.000
Piso en Nou Moles,Nou Moles ,L'Olivereta,69,2,1,None,95.000
Piso en La Malvarrosa,El Grau ,Poblats Marítims,79,3,2,None,125.000
Piso en calle de Vicente Ballester,El Cabanyal-El Canyamelar ,Poblats Marítims,79,3,1,None,119.500
Piso en Carrer del Poeta Iranzo Simon,Tormos ,La Saïdia,61,2,1,None,46.900
Piso en calle calle de Larquitecte Rodríguez,Orriols ,Rascanya,74,3,1,None,76.330
Apartamento en calle del Almirante Cruilles,Aiora ,Camins al Grau,68,3,1,None,63.500
"Piso en calle de Torrevieja, 8",La Raiosa ,Jesús,112,3,2,None,104.000
Piso en calle de Carrícola,L'Hort de Senabre ,Jesús,98,3,1,None,120.000
Piso en calle del Músico Cabanilles,El Castellar-L'Oliveral ,Pobles del Sud,55,2,1,None,73.820
Piso en calle de Pedro Monsoriu,Beteró ,Poblats Marítims,64,3,1,None,119.000
Piso en calle de Berenguer de Montoliu,La Malva-rosa ,Poblats Marítims,80,2,1,None,125.000
"Piso en Carrer de Juan Ramón Jiménez, nº 70",Malilla ,Quatre Carreres,67,2,1,None,87.000
Piso en calle de Norman Bethune 'Médico',Tres Forques ,L'Olivereta,77,3,2,None,95.000
Piso en Tormos,Tormos ,La Saïdia,69,3,1,None,69.900
