address,district,neighbourhood,sqft_surface,bedrooms,bathrooms,new_construction,price
"Ático en calle del Doctor Lluch, cerca de Calle de la Reina",El Cabanyal-El Canyamelar ,Poblats Marítims,58,1,1,None,126.000
Piso en calle Marino Pedro Anderu,Favara ,Patraix,115,4,2,None,175.000
"Piso en Carrer de Sueca, cerca de Carrer de Dénia",Russafa ,L'Eixample,69,2,1,None,179.000
"Casa en calle de la Barraca, cerca de Calle de la Iglesia del Rosario",El Cabanyal-El Canyamelar ,Poblats Marítims,63,2,1,None,165.000
Piso en calle de Calixto III,Arrancapins ,Extramurs,115,2,1,None,162.000
Apartamento en El Carme,El Carme ,Ciutat Vella,84,1,1,None,195.000
Piso en Plaza de Honduras,Ciutat Jardí ,Algirós,90,3,1,None,190.000
"Piso en Avinguda de la Malva-rosa, cerca de Calle de Antonio Ponz",La Malva-rosa ,Poblats Marítims,103,3,2,None,140.000
Piso en calle de Guillem Escrivá,La Malva-rosa ,Poblats Marítims,100,4,2,None,145.000
Casa en calle Mestre Chapí,Benimàmet ,Pobles de l'Oest,122,3,2,None,197.000
Piso en Nou Moles,Nou Moles ,L'Olivereta,165,4,2,None,149.000
Piso en Plaza de la Iglesia de los Ángeles,El Cabanyal-El Canyamelar ,Poblats Marítims,65,3,1,None,130.000
Piso en calle Fausto Helio,La Malva-rosa ,Poblats Marítims,102,3,2,None,175.000
Apartamento en Avenida Blasco Ibañez,L'Illa Perduda ,Algirós,91,3,2,None,210.000
"Piso en Avenida Giorgeta, nº 19",Arrancapins ,Extramurs,114,4,2,None,194.900
Piso en Arrancapins,Arrancapins ,Extramurs,134,3,2,None,226.000
"Piso en Carrer de Juan Ramón Jiménez, 87, cerca de Carrer de la Isla Cabrera",Malilla ,Quatre Carreres,117,4,2,None,158.000
Piso en Aiora,Aiora ,Camins al Grau,140,4,2,None,175.000
Piso en Carrer de la Corona,El Carme ,Ciutat Vella,72,2,2,None,139.000
Piso en calle de Pelayo,La Roqueta ,Extramurs,91,3,2,None,177.000
Piso en calle del Maestro Valls,Aiora ,Camins al Grau,92,3,1,None,156.000
Piso en La Creu del Grau,La Creu del Grau ,Camins al Grau,102,4,1,None,124.900
"Piso en calle de la Reina, cerca de Calle de la Barraca",El Cabanyal-El Canyamelar ,Poblats Marítims,98,4,2,None,190.000
Piso en Nou Moles,Nou Moles ,L'Olivereta,75,2,1,None,133.000
Apartamento en calle Portacoeli,Sant Llorenç ,Rascanya,106,3,2,None,135.000
Piso en Ciutat Jardí,Ciutat Jardí ,Algirós,117,4,2,None,145.000
Casa en calle del Lavadero,El Cabanyal-El Canyamelar ,Poblats Marítims,107,"1.635
 €/m²","1.635
 €/m²",None,175.000
Piso en Beteró,Beteró ,Poblats Marítims,78,3,1,None,145.000
Piso en calle de Isaac Peral,El Grau ,Poblats Marítims,96,3,1,None,150.000
Apartamento en calle de Ángel Villena,Ciutat de les Arts i de les Ciències ,Quatre Carreres,96,3,2,None,129.000
