address,district,neighbourhood,sqft_surface,bedrooms,bathrooms,new_construction,price
Piso en calle de Oltá,Malilla ,Quatre Carreres,112,4,2,None,120.000
Piso en Plaza de la Virgen del Amparo,Benicalap ,Benicalap,76,2,1,None,79.900
Piso en La Punta,La Punta ,Quatre Carreres,81,2,1,None,73.000
"Piso en calle Carmelo Roda, 6",Benicalap ,Benicalap,74,3,1,None,66.500
Apartamento en Rascanya,Torrefiel ,Rascanya,83,4,2,None,119.000
"Piso en calle de La Puebla del Duc, nº 13",Sant Antoni ,La Saïdia,72,3,1,None,102.000
Piso en calle de Bernia,En Corts ,Quatre Carreres,72,3,1,None,85.000
Piso en L'Amistat,L'Amistat ,Algirós,59,3,2,None,105.000
Apartamento en El Palmar,El Palmar ,Pobles del Sud,2,2,2,None,130.000
"Piso en calle de Juan Bautista Vives, nº 2",Nou Moles ,L'Olivereta,64,3,1,None,77.000
Piso en Orriols,Orriols ,Rascanya,85,3,1,None,60.000
Piso en Torrefiel,Torrefiel ,Rascanya,99,4,1,None,55.000
Piso en Patraix,Patraix ,Patraix,89,4,1,None,113.000
Piso en Quatre Carreres,En Corts ,Quatre Carreres,62,2,1,None,89.500
Piso en Aiora,Aiora ,Camins al Grau,72,2,1,None,119.900
Piso en Cabanyal-Canyamelar,El Cabanyal-El Canyamelar ,Poblats Marítims,59,2,1,None,103.500
Piso en Carrer de Betxí,Benicalap ,Benicalap,89,3,1,None,75.000
Apartamento en La Saïdia,Marxalenes ,La Saïdia,70,3,1,None,118.000
"Piso en calle de Ribelles Comin, 5",La Punta ,Quatre Carreres,97,4,1,None,121.000
Piso en Cabanyal,El Grau ,Poblats Marítims,60,2,1,None,109.900
Piso en Ciutat Vella,El Carme ,Ciutat Vella,61,2,1,None,122.000
Piso en Torrefiel,Torrefiel ,Rascanya,94,4,1,None,76.990
Piso en Tormos,Tormos ,La Saïdia,58,2,1,None,58.000
Casa en Benimàmet,Benimàmet ,Pobles de l'Oest,215,1,1,None,120.000
Piso en Carrer de Llanera de Ranes,L'Hort de Senabre ,Jesús,98,2,2,None,128.000
"Piso en Avinguda Doctor Peset Aleixandre, cerca de Calle de Santo Domingo Savio",Torrefiel ,Rascanya,86,3,1,None,89.999
Piso en calle del Brasil,Nou Moles ,L'Olivereta,77,2,1,None,77.000
Piso en calle de Planas,En Corts ,Quatre Carreres,89,3,1,None,124.900
Piso en calle de Pío IX,Sant Marcel·lí ,Jesús,100,4,2,None,105.000
Piso en Tres Forques,Tres Forques ,L'Olivereta,95,3,1,None,89.500
