address,district,neighbourhood,sqft_surface,bedrooms,bathrooms,new_construction,price
Apartamento en calle de Agustín Sales,L'Hort de Senabre ,Jesús,40,1,1,None,130.000
Piso en calle Carrer de L''arquebisbe Fabián I Fuero,Marxalenes ,La Saïdia,80,3,1,None,158.000
Piso en Patraix,Patraix ,Patraix,101,3,1,None,155.000
Piso en Torrefiel,Torrefiel ,Rascanya,90,2,1,None,155.000
Ático en La Torre,La Torre ,Pobles del Sud,175,3,2,None,165.000
Piso en València,Torrefiel ,Rascanya,91,4,2,None,134.000
Piso en La Creu del Grau,La Creu del Grau ,Camins al Grau,116,3,2,None,161.000
Piso en La Malvarrosa,La Malva-rosa ,Poblats Marítims,79,2,1,None,125.000
Piso en Aiora,Aiora ,Camins al Grau,122,4,2,None,210.000
Apartamento en Extramurs,La Petxina ,Extramurs,89,3,2,None,125.000
Dúplex en Quatre Carreres,Malilla ,Quatre Carreres,133,3,3,None,195.000
Piso en calle de Molinell,Trinitat ,La Saïdia,72,2,1,None,165.000
Piso en Patraix,L'Hort de Senabre ,Jesús,112,4,2,None,137.000
Ático en Extramurs,La Petxina ,Extramurs,36,2,1,None,160.000
Piso en Russafa,Russafa ,L'Eixample,71,3,1,None,140.000
Piso en Russafa,Russafa ,L'Eixample,70,3,1,None,149.900
Ático en Extramurs - Zona Botánico,La Petxina ,Extramurs,40,1,1,None,135.000
Piso en Patraix,Patraix ,Patraix,119,4,2,None,145.000
Piso en Ciutat de Les Arts I de Les Ciències,Ciutat de les Arts i de les Ciències ,Quatre Carreres,86,3,1,None,167.000
Piso en Avinguda de Sant Josep de la Muntanya,La Petxina ,Extramurs,100,3,2,None,211.000
Piso en Aiora,Aiora ,Camins al Grau,80,4,1,None,155.000
Piso en Morvedre,Morvedre ,La Saïdia,85,3,1,None,164.000
Apartamento en Extramurs,Arrancapins ,Extramurs,81,2,2,None,160.000
Piso en Mestalla,Mestalla ,El Pla del Real,80,2,1,None,165.000
Piso en La Malva-Rosa,La Malva-rosa ,Poblats Marítims,90,3,2,None,148.000
Piso en Arrancapins,Arrancapins ,Extramurs,99,5,1,None,195.000
Piso en Marxalenes,Marxalenes ,La Saïdia,None,2,1ª planta,None,149.000
Piso en Benimaclet,Benimaclet ,Benimaclet,93,3,1,None,139.000
Piso en La Punta,La Punta ,Quatre Carreres,105,3,1,None,129.000
Piso en Carrer Rafael Lapesa Melgar,Camí Real ,Jesús,122,3,2,None,175.000
