address,district,neighbourhood,sqft_surface,bedrooms,bathrooms,new_construction,price
Piso en El Cabanyal-El Canyamelar,El Cabanyal-El Canyamelar ,Poblats Marítims,55,3,1,None,130.000
Apartamento en El Perellonet,El Perellonet ,Pobles del Sud,51,1,1,None,89.000
Piso en Na Rovella,Na Rovella ,Quatre Carreres,98,3,2,None,126.000
Piso en Benicalap,Benicalap ,Benicalap,66,2,1,None,125.000
Piso en El Grau,El Grau ,Poblats Marítims,87,3,1,None,132.000
Piso en Torrefiel,Torrefiel ,Rascanya,66,2,1,None,85.000
Piso en El Botànic,El Botànic ,Extramurs,36,1,1,None,130.000
Piso en Torrefiel,Torrefiel ,Rascanya,75,2,1,None,96.000
Ático en El Cabanyal-El Canyamelar,El Cabanyal-El Canyamelar ,Poblats Marítims,60,1,1,None,126.000
Piso en El Cabanyal-El Canyamelar,El Cabanyal-El Canyamelar ,Poblats Marítims,44,2,1,None,68.000
Piso en Torrefiel,Torrefiel ,Rascanya,87,3,1,None,125.000
"Piso en calle del Arquitecto Alfaro, nº 7",El Cabanyal-El Canyamelar ,Poblats Marítims,None,1,4ª planta,None,99.500
"Piso en Carrer de Russafa, cerca de Gran Vía del Marqués del Turia",El Pla del Remei ,L'Eixample,45,1,1,None,105.750
Piso en El Botànic,El Botànic ,Extramurs,36,1,1,None,130.000
Piso en Benicalap,Benicalap ,Benicalap,56,1,1,None,129.900
Piso en L'Hort de Senabre,L'Hort de Senabre ,Jesús,108,3,2,None,126.000
Piso en Na Rovella,Na Rovella ,Quatre Carreres,92,2,1,None,90.000
Piso en Nou Moles,Nou Moles ,L'Olivereta,84,2,1,None,126.000
Piso en La Creu del Grau,La Creu del Grau ,Camins al Grau,61,2,1,None,119.000
Piso en El Grau,El Grau ,Poblats Marítims,64,2,1,None,109.000
Piso en Orriols,Orriols ,Rascanya,55,1,1,None,97.000
Piso en Sant Marcel·lí,Sant Marcel·lí ,Jesús,101,3,2,None,132.000
Piso en En Corts,En Corts ,Quatre Carreres,83,2,1,None,129.990
Piso en El Grau,El Grau ,Poblats Marítims,87,3,1,None,132.000
Piso en El Perellonet,El Perellonet ,Pobles del Sud,63,2,1,None,88.000
Piso en La Creu del Grau,La Creu del Grau ,Camins al Grau,61,2,1,None,119.000
Piso en El Grau,El Grau ,Poblats Marítims,64,2,1,None,109.900
Piso en El Cabanyal-El Canyamelar,El Cabanyal-El Canyamelar ,Poblats Marítims,75,2,2,None,130.000
Piso en El Carme,El Carme ,Ciutat Vella,65,2,1,None,106.000
Loft en Tormos,Tormos ,La Saïdia,None,1,"1.828
 €/m²",None,64.000
