address,district,neighbourhood,sqft_surface,bedrooms,bathrooms,new_construction,price
Piso en V-Malvarrosa,La Malva-rosa ,Poblats Marítims,65,2,2,None,165.000
Piso en V-San Isidro,Sant Isidre ,Patraix,93,3,2,None,155.001
Ático en V-Perez Galdos/Fdo.Catolico,La Petxina ,Extramurs,36,1,1,None,160.000
Apartamento en Carrer de la República Argentina,L'Amistat ,Algirós,147,4,2,None,199.000
Piso en V-Malvarrosa,La Malva-rosa ,Poblats Marítims,78,4,2,None,157.000
Piso en V-Benimaclet,Benimaclet ,Benimaclet,83,3,1,None,125.000
Piso en V-Giorgeta/Carteros,L'Hort de Senabre ,Jesús,98,3,2,None,170.000
Piso en Valencia,Benicalap ,Benicalap,117,3,2,None,170.105
Piso en V-Cabañal,El Cabanyal-El Canyamelar ,Poblats Marítims,104,4,1,None,180.000
Piso en V-Centro,El Mercat ,Ciutat Vella,75,1,1,None,215.000
Piso en V-San Isidro,Sant Isidre ,Patraix,132,4,2,None,180.000
Piso en V-Benicalap/Ciudad Fallera,Benicalap ,Benicalap,91,3,1,None,159.900
Piso en V-Brasil/Pechina,Nou Moles ,L'Olivereta,112,3,2,None,190.000
Piso en Nou Moles,Nou Moles ,L'Olivereta,102,4,2,None,125.000
Piso en V-Malvarrosa,La Malva-rosa ,Poblats Marítims,122,3,2,None,178.000
"Piso en calle Pedro Patricio Mey, nº 34",Torrefiel ,Rascanya,76,2,2,None,147.000
Piso en V-Ausias March/Av. Plata,En Corts ,Quatre Carreres,91,3,1,None,149.000
Piso en Malilla,Malilla ,Quatre Carreres,90,3,1,None,121.000
Piso en V-Malilla,Malilla ,Quatre Carreres,86,3,2,None,171.000
Piso en V-Centro,El Mercat ,Ciutat Vella,70,1,1,None,170.000
Piso en V-Benicalap/Ciudad Fallera,Benicalap ,Benicalap,59,1,1,None,140.000
Piso en V-Centro,El Mercat ,Ciutat Vella,75,1,1,None,215.000
Piso en calle de San Rafael,La Malva-rosa ,Poblats Marítims,116,4,2,None,160.000
Piso en Olivereta-Nou Moles,Nou Moles ,L'Olivereta,80,3,1,None,150.000
Piso en V-Giorgeta/Carteros,L'Hort de Senabre ,Jesús,81,2,2,None,155.000
Piso en V-La Torre,Faitanar ,Pobles del Sud,101,2,2,None,167.000
Piso en V-Puerto,La Creu del Grau ,Camins al Grau,62,2,1,None,124.800
Ático en V-Giorgeta/Carteros,L'Hort de Senabre ,Jesús,93,2,1,None,199.000
Piso en V-Malvarrosa,La Malva-rosa ,Poblats Marítims,89,3,1,None,160.000
Piso en V-Centro,El Mercat ,Ciutat Vella,112,4,3,None,197.000
