address,district,neighbourhood,sqft_surface,bedrooms,bathrooms,new_construction,price
Piso en V-San Isidro,Sant Isidre ,Patraix,128,128 m²,None,None,150.000
Piso en V-Perez Galdos/Fdo.Catolico,La Petxina ,Extramurs,101,3,2,None,230.000
Piso en V-San Isidro,Sant Isidre ,Patraix,128,4,2,None,150.000
"Piso en Avinguda de Pérez Galdós, cerca de Calle del Pintor Navarro Llorens",Arrancapins ,Extramurs,104,4,1,None,144.000
"Piso en calle de Manuela Estellés, cerca de Carrer de Marino Blas de Lezo",Beteró ,Poblats Marítims,117,3,2,None,148.000
"Piso en Carrer del Túria, cerca de Carrer de Pere Bonfill",El Botànic ,Extramurs,119,4,1,None,210.000
Ático en V-Perez Galdos/Fdo.Catolico,La Petxina ,Extramurs,78,2,1,None,223.000
Piso en V-Justo y Pastor,Albors ,Camins al Grau,70,3,1,None,125.000
"Piso en Carrera de Malilla, nº 00",Malilla ,Quatre Carreres,None,2,5ª planta,None,167.000
Piso en V-Cabañal,El Cabanyal-El Canyamelar ,Poblats Marítims,60,1,1,None,155.001
Piso en V-Brasil/Pechina,Nou Moles ,L'Olivereta,79,2,1,None,125.000
Piso en V-Patraix/Tres Forques,Safranar ,Patraix,111,3,2,None,126.000
Piso en V-Patraix/Tres Forques,Safranar ,Patraix,104,3,2,None,135.000
Piso en V-Giorgeta/Carteros,L'Hort de Senabre ,Jesús,81,2,2,None,155.000
Piso en V-Cabañal,El Cabanyal-El Canyamelar ,Poblats Marítims,70,3,1,None,129.000
Piso en V-La Torre,Faitanar ,Pobles del Sud,87,4,2,None,140.000
Piso en V-Av.Cid,Tres Forques ,L'Olivereta,132,4,2,None,150.000
Piso en Jesus-Hort de Senabre,L'Hort de Senabre ,Jesús,120,4,2,None,230.000
Piso en V-San Isidro,Sant Isidre ,Patraix,106,2,1,None,125.000
Ático en V-Cabañal,El Cabanyal-El Canyamelar ,Poblats Marítims,63,1,1,None,126.000
Piso en V-Benimaclet,Benimaclet ,Benimaclet,83,3,1,None,125.000
Piso en V-Av.Cid,Tres Forques ,L'Olivereta,101,3,2,None,229.000
Piso en L'Illa Perduda,L'Illa Perduda ,Algirós,100,5,2,None,189.900
Piso en calle del Triador,El Pilar ,Ciutat Vella,65,2,1,None,149.900
Piso en V-Cabañal,El Cabanyal-El Canyamelar ,Poblats Marítims,121,3,1,None,180.000
Piso en Sant Antoni,Sant Antoni ,La Saïdia,127,5,2,None,170.000
Piso en Olivereta-Nou Moles,Nou Moles ,L'Olivereta,86,3,1,None,139.500
Piso en V-Malilla,Malilla ,Quatre Carreres,113,4,2,None,159.000
Piso en Benimaclet,Benimaclet ,Benimaclet,109,4,2,None,199.000
Piso en V-Campanar,Campanar ,Campanar,109,3,2,None,175.000
