address,district,neighbourhood,sqft_surface,bedrooms,bathrooms,new_construction,price
"Piso en calle de Cuenca, cerca de Calle del Barón de Patraix",Patraix ,Patraix,121,3,2,None,155.000
Piso en La Malva-rosa,La Malva-rosa ,Poblats Marítims,65,2,2,None,165.000
Piso en Marchalenes,Les Tendetes ,Campanar,90,2,1,None,121.000
Casa en calle Carretera Fuente en Corts,La Punta ,Quatre Carreres,238,4,1,None,215.000
Apartamento en Poblats Marítims,El Grau ,Poblats Marítims,68,3,1,None,130.000
Piso en La Torre,La Torre ,Pobles del Sud,112,3,2,None,130.400
Apartamento en Patraix,Safranar ,Patraix,120,4,2,None,130.000
Ático en Ciutat Jardí,Ciutat Jardí ,Algirós,55,3,1,None,160.000
Piso en Arrancapins,Arrancapins ,Extramurs,100,5,1,None,199.000
Piso en Nou Moles,Nou Moles ,L'Olivereta,115,3,1,None,170.000
"Piso en calle de La Marina Alta, nº 6",Sant Pau ,Campanar,88,2,1,None,207.000
Ático en Faitanar,Faitanar ,Pobles del Sud,144,1,3,None,156.000
Piso en El Grau,El Grau ,Poblats Marítims,80,3,1,None,163.000
Apartamento en Patraix,Safranar ,Patraix,107,4,2,None,188.000
Piso en Quatre Carreres,En Corts ,Quatre Carreres,99,4,1,None,121.000
Piso en Marxalenes,Marxalenes ,La Saïdia,85,3,1,None,129.900
"Chalet en calle del Rosario, cerca de Calle de la Maestra Pilar Hernández",El Cabanyal-El Canyamelar ,Poblats Marítims,64,2,1,None,157.000
Piso en Russafa,Russafa ,L'Eixample,100,5,2,None,149.900
Piso en calle de Santa María Micaela,La Petxina ,Extramurs,141,4,3,None,220.000
Piso en El Cabanyal-El Canyamelar,El Cabanyal-El Canyamelar ,Poblats Marítims,70,3,1,None,120.000
Piso en L'Amistat,L'Amistat ,Algirós,98,4,1,None,179.000
"Ático en Avinguda del General Avilés, cerca de Avinguda de Burjasot",Benicalap ,Benicalap,120,3,1,None,150.000
Piso en Quatre Carreres - Malilla,Malilla ,Quatre Carreres,113,4,2,None,159.900
Piso en Arrancapins,Arrancapins ,Extramurs,103,3,1,None,220.000
Piso en V-Brasil/Pechina,Nou Moles ,L'Olivereta,128,4,2,None,180.000
Piso en Arrancapins-Plaza Espaa,La Roqueta ,Extramurs,99,3,2,None,230.000
"Piso en calle de Pedro Andreu, nº 5",L'Hort de Senabre ,Jesús,107,3,1,None,120.500
Piso en Benimaclet,Benimaclet ,Benimaclet,70,3,1,None,130.000
"Piso en Carrer de Cadis, cerca de Calle de los Centelles",Russafa ,L'Eixample,60,2,1,None,165.000
Piso en Carretera de Moncada,Torrefiel ,Rascanya,108,3,3,None,130.000
