address,district,neighbourhood,sqft_surface,bedrooms,bathrooms,new_construction,price
Piso en Malilla,Malilla ,Quatre Carreres,95,2,1,None,130.000
Piso en Nou Moles,Nou Moles ,L'Olivereta,80,2,1,None,129.500
"Dúplex en calle de Giménez y Costa, cerca de Calle del Pico Calderón",La Torre ,Pobles del Sud,103,2,2,None,110.500
Piso en calle de la Madera,Aiora ,Camins al Grau,65,3,1,None,65.000
Piso en Carrer del Periodista Gil Sumbiela,Benicalap ,Benicalap,102,3,1,None,125.000
Piso en Sant Antoni,Sant Antoni ,La Saïdia,110,4,2,None,130.000
Piso en Favara,Favara ,Patraix,70,3,1,None,83.000
"Apartamento en calle del Conseller Francisco Bosch, 4",La Fontsanta ,L'Olivereta,70,2,1,None,58.900
"Piso en Avinguda de Burjasot, 12, cerca de Calle del Arzobispo Fabian y Fuero",Marxalenes ,La Saïdia,73,3,1,None,117.000
Piso en Plaza Regino Mas,Ciutat Fallera ,Benicalap,74,2,1,None,56.500
Piso en calle de María de Molina,L'Hort de Senabre ,Jesús,87,3,1,None,95.900
Piso en Avinguda de Tres Forques,Tres Forques ,L'Olivereta,88,4,1,None,95.000
Piso en Sant Marcel·Lí,Sant Marcel·lí ,Jesús,95,3,2,None,130.000
Piso en Benicalap,Benicalap ,Benicalap,67,3,1,None,74.900
Piso en Marxalenes,Marxalenes ,La Saïdia,89,3,1,None,85.000
Piso en Benimaclet,Benimaclet ,Benimaclet,62,2,1,None,125.000
Piso en El Botànic,El Botànic ,Extramurs,71,4,1,None,125.000
"Piso en calle de la Democracia, cerca de Passeig de la Petxina",Nou Moles ,L'Olivereta,109,3,1,None,98.000
Piso en calle de Alcalá de Chivert,Camí Real ,Jesús,90,3,1,None,105.000
Piso en Extramurs - La Petxina,La Petxina ,Extramurs,61,3,1,None,115.000
Piso en Carrer de Olimpia Arozena Torres 'Professora',Nou Moles ,L'Olivereta,87,4,1,None,99.000
"Piso en calle de la Barraca, cerca de Calle de las Columbretes",El Cabanyal-El Canyamelar ,Poblats Marítims,110,3,1,None,130.000
Piso en calle de La Gomera,La Malva-rosa ,Poblats Marítims,80,3,1,None,115.000
Piso en Tres Forques,Tres Forques ,L'Olivereta,100,3,1,None,85.000
"Apartamento en calle de Andrés Piles Ibars, 3",Benicalap ,Benicalap,84,3,1,None,68.313
Piso en Na Rovella,Na Rovella ,Quatre Carreres,105,3,2,None,129.000
Piso en calle de Bello,El Grau ,Poblats Marítims,70,3,1,None,130.000
Piso en calle Castell de Benissano,Montolivet ,Quatre Carreres,58,2,1,None,70.000
Piso en Nou Moles,Nou Moles ,L'Olivereta,82,2,1,None,126.000
Apartamento en Jesús,Favara ,Patraix,92,3,1,None,79.000
