address,district,neighbourhood,sqft_surface,bedrooms,bathrooms,new_construction,price
Piso en calle de Mosén Fenollar,Arrancapins ,Extramurs,75,3,1,None,125.000
Piso en Sant Marcel·lí,Sant Marcel·lí ,Jesús,101,3,2,None,132.000
Piso en calle de Oltá,Malilla ,Quatre Carreres,123,3,1,None,195.000
"Piso en Avinguda del Cardenal Benlloch, cerca de Calle de Campoamor",L'Amistat ,Algirós,71,2,1,None,169.000
Piso en La Raiosa,La Raiosa ,Jesús,95,3,1,None,139.000
Apartamento en Carrer dels Vivons,Russafa ,L'Eixample,70,2,1,None,165.000
"Piso en calle del Arquitecto Monleón,  9",La Creu Coberta ,Jesús,101,3,2,Obra nueva,170.000
Piso en Trinitat,Trinitat ,La Saïdia,62,2,1,None,165.000
Piso en calle del Río Nervión,Benicalap ,Benicalap,136,3,2,None,219.000
Apartamento en Pobles del Sud - El Saler,El Saler ,Pobles del Sud,69,2,1,None,125.000
Piso en calle del Ingeniero José Sirera,Sant Marcel·lí ,Jesús,95,3,1,None,124.500
Piso en Carrer de l'Erudit Orellana,La Petxina ,Extramurs,60,2,1,None,149.000
Piso en Trinitat,Trinitat ,La Saïdia,67,2,1,None,165.000
Piso en Aiora,Aiora ,Camins al Grau,120,4,2,None,208.000
Apartamento en Pobles del Sud - El Perellonet,El Perellonet ,Pobles del Sud,76,2,1,None,120.000
"Piso en calle de Ramiro de Maeztu, 17",Aiora ,Camins al Grau,90,3,1,None,125.000
Piso en calle del Micer Rabasa,La Raiosa ,Jesús,124,3,2,Obra nueva,189.525
"Piso en calle de Manuela Estellés, cerca de Calle de Benisoda",Beteró ,Poblats Marítims,95,4,2,None,143.000
Piso en Nou Moles,Nou Moles ,L'Olivereta,99,2,1,None,139.000
Piso en calle del Alcalde Cano Coloma,Ciutat Jardí ,Algirós,99,3,1,None,145.000
Piso en calle Dr Bartual Moret,Ciutat Universitària ,El Pla del Real,73,10,1ª planta,None,155.000
"Piso en calle Jeronima Galés, nº 68",La Creu Coberta ,Jesús,77,3,2,None,136.000
Piso en Vara de Quart,Vara de Quart ,Patraix,80,3,1,None,127.000
"Piso en calle de los Centelles, cerca de Carrer de Cuba",Russafa ,L'Eixample,102,3,1,None,186.000
"Piso en calle de Juan Verdeguer, 36",El Grau ,Poblats Marítims,84,2,1,Obra nueva,226.000
Piso en Carretera de Moncada,Tormos ,La Saïdia,83,3,1,None,150.000
Piso en calle de L Arquebisbe Fabián I Fuero,Marxalenes ,La Saïdia,137,4,1,None,145.000
Piso en Avenida Giorgeta,La Raiosa ,Jesús,91,4,1,None,169.000
Apartamento en Pobles del Sud - El Perellonet,El Perellonet ,Pobles del Sud,97,2,2,None,130.000
Piso en calle Carrer de Sant Joan de Déu,La Malva-rosa ,Poblats Marítims,97,3,2,None,154.000
