address,district,neighbourhood,sqft_surface,bedrooms,bathrooms,new_construction,price
Apartamento en Avenida de Ausiàs March,Na Rovella ,Quatre Carreres,156,4,2,None,230.000
Piso en Jaume Roig,Jaume Roig ,El Pla del Real,241,5,2,None,482.000
Piso en calle de Mallorquins,El Mercat ,Ciutat Vella,96,4,2,None,320.000
"Piso en Plaza del Músico Albéniz, nº 3",Jaume Roig ,El Pla del Real,241,5,3,None,445.000
"Piso en Carrer de Gibraltar,  15",Russafa ,L'Eixample,97,3,2,Obra nueva,375.000
"Piso en Carrer de Gibraltar,  15",Russafa ,L'Eixample,97,3,2,Obra nueva,360.000
"Casa en calle de Eugenia Viñes, cerca de Calle de Pavía",El Cabanyal-El Canyamelar ,Poblats Marítims,92,3,1,None,260.000
Piso en El Carme,El Carme ,Ciutat Vella,185,5,2,None,310.000
Casa en El Forn d'Alcedo,El Forn d'Alcedo ,Pobles del Sud,178,3,2,None,210.000
"Apartamento en Plaza José Mª Orense, nº 12",La Carrasca ,Algirós,105,3,2,None,360.000
Piso en calle del Escultor José Capuz,Montolivet ,Quatre Carreres,None,1,"1.611
 €/m²",None,290.000
"Piso en Carrer de Gibraltar,  15",Russafa ,L'Eixample,97,3,2,Obra nueva,345.000
"Piso en calle del Conde de Altea, cerca de Avinguda de Jacinto Benavente",El Pla del Remei ,L'Eixample,196,5,2,None,500.000
Piso en Plaza del Músico Albéniz,Jaume Roig ,El Pla del Real,193,5,2,None,499.000
"Piso en Avenida de Ausiàs March, cerca de Calle de la Pianista Amparo Iturbi",Malilla ,Quatre Carreres,124,3,2,None,225.000
Piso en Benimaclet,Benimaclet ,Benimaclet,115,3,2,None,370.000
Piso en La Creu del Grau,La Creu del Grau ,Camins al Grau,3,156 m²,None,None,290.000
Piso en La Petxina,La Petxina ,Extramurs,212,6,2,None,280.000
Piso en El Cabanyal-El Canyamelar,El Cabanyal-El Canyamelar ,Poblats Marítims,107,3,2,None,270.000
Piso en Carrer del Doctor Juan José Dómine,El Grau ,Poblats Marítims,198,3,2,None,399.800
Piso en El Mercat,El Mercat ,Ciutat Vella,116,4,2,None,275.000
Piso en Avinguda de Manuel de Falla,Sant Pau ,Campanar,125,3,2,None,350.000
Piso en Facultades,Pinedo ,Pobles del Sud,170,3,2,None,497.000
"Piso en calle de Vicente Brull, cerca de Calle del Maestro de Obras Francisco Baldomar",El Grau ,Poblats Marítims,125,2,2,None,284.800
Ático en Sant Marcel.Lí,Sant Marcel·lí ,Jesús,108,3,2,None,280.000
"Piso en Gran Vía de Fernando 'El Católico', nº 71",La Petxina ,Extramurs,147,5,2,None,275.000
Apartamento en Ensanche de Gran Via,Gran Via ,L'Eixample,69,1,2,None,225.000
Piso en Passeig de l'Albereda,Penya-roja ,Camins al Grau,146,3,2,None,360.000
Piso en Velluters,El Pilar ,Ciutat Vella,81,3,2,None,219.000
Piso en El Botànic,El Botànic ,Extramurs,99,3,1,None,250.000
