address,district,neighbourhood,sqft_surface,bedrooms,bathrooms,new_construction,price
Piso en Nou Moles,Nou Moles ,L'Olivereta,85,3,1,None,120.000
Piso en calle Actor y Cantante Ovidi Montllor y Mengual,Camí Real ,Jesús,110,4,2,None,120.000
Piso en calle de Archena,Soternes ,L'Olivereta,73,"1.239
 €/m²","1.239
 €/m²",None,90.500
Piso en Cabañal,El Cabanyal-El Canyamelar ,Poblats Marítims,100,3,1,None,115.000
"Piso en Avinguda del General Avilés, 3, cerca de Calle de Francisco Barrachina Esteban",Benicalap ,Benicalap,88,3,1,None,102.000
"Piso en Avenida San Juan Peña, nº 16",Orriols ,Rascanya,80,"837
 €/m²","837
 €/m²",None,67.000
"Piso en Carrer Illes Canàries, cerca de Avenida del Puerto",Gran Via ,L'Eixample,90,3,2,None,109.000
Piso en calle de la Almudaina,La Creu Coberta ,Jesús,74,"1.081
 €/m²","1.081
 €/m²",None,80.000
Piso en Plaza de la Colonia Española de Méjico,La Fontsanta ,L'Olivereta,64,"671
 €/m²","671
 €/m²",None,43.000
Apartamento en calle de Molina de Segura,Tres Forques ,L'Olivereta,82,3,1,None,76.500
Piso en Avinguda del Doctor Ruiz y Comes,El Saler ,Pobles del Sud,105,3,1,None,100.000
Piso en Na Rovella,Na Rovella ,Quatre Carreres,90,2,1,None,90.000
Piso en calle de Jerónimo de Monsoriu,Aiora ,Camins al Grau,63,3,1,None,115.000
Piso en Patraix,Patraix ,Patraix,76,3,1,None,125.000
"Apartamento en calle de Palma de Gandía, 71",Benifaraig ,Pobles del Nord,94,3,2,None,98.000
Piso en calle de Planas,En Corts ,Quatre Carreres,66,1,1,None,87.000
Piso en calle del Músico Cabanilles,Sant Marcel·lí ,Jesús,55,"1.342
 €/m²","1.342
 €/m²",None,73.820
Piso en La Creu del Grau,La Creu del Grau ,Camins al Grau,80,3,1,None,110.000
Ático en calle Dr Lluch,El Cabanyal-El Canyamelar ,Poblats Marítims,63,1,1,None,126.000
Piso en Passeig de l'Albereda,Penya-roja ,Camins al Grau,50,1,3ª planta,None,130.000
Apartamento en calle del Médico Esteve,La Raiosa ,Jesús,85,4,1,None,109.500
Piso en Ciutat Fallera,Ciutat Fallera ,Benicalap,68,3,1,None,99.900
Piso en Sant Marcel.Lí,Sant Marcel·lí ,Jesús,3,1,1,None,85.000
Piso en calle Francisco Baldoma,El Cabanyal-El Canyamelar ,Poblats Marítims,63,3,1,None,95.000
Piso en calle de Velázquez,Nou Moles ,L'Olivereta,123,4,2,None,124.000
Piso en Benicalap,Benicalap ,Benicalap,70,2,1,None,69.000
"Piso en calle del Maestro Alberto Luz, nº 24",Benimàmet ,Pobles de l'Oest,90,5,2,None,75.000
Piso en calle Pedro Patricio Mey,Torrefiel ,Rascanya,85,2,1,None,99.000
Piso en Sant Marcel·lí,Sant Marcel·lí ,Jesús,65,2,1,None,89.000
"Estudio en calle de Escalante, cerca de Calle de José Benlliure",El Cabanyal-El Canyamelar ,Poblats Marítims,45,2,1,None,83.000
