address,district,neighbourhood,sqft_surface,bedrooms,bathrooms,new_construction,price
"Apartamento en Avinguda del CID, cerca de Calle del Pintor Stolz",Nou Moles ,L'Olivereta,88,3,1,None,109.900
Piso en calle de San Rafael,La Malva-rosa ,Poblats Marítims,67,3,1,None,44.900
Apartamento en Patraix,Tres Forques ,L'Olivereta,98,4,2,None,124.900
"Piso en Carrer de les Alqueríes de Bellver, nº 7",Benicalap ,Benicalap,70,2,1,None,69.900
"Piso en Carrer de Sant Joan Bosco, cerca de Calle del Duque de Mandas",Orriols ,Rascanya,60,2,1,None,50.000
"Piso en Carrer de la Florista, cerca de Calle de Aitana",Benicalap ,Benicalap,55,3,1,None,60.000
Apartamento en calle José Grollo,Benicalap ,Benicalap,102,4,2,None,85.000
Piso en Camí Real,Camí Real ,Jesús,98,4,2,None,124.900
"Piso en calle de la Isla de Hierro, 7",La Malva-rosa ,Poblats Marítims,74,3,1,None,75.000
Piso en La Zaidia,Sant Antoni ,La Saïdia,79,3,1,None,102.000
Piso en El Saler,El Saler ,Pobles del Sud,93,2,1,None,95.000
Casa en Benifaraig,Benifaraig ,Pobles del Nord,None,3,"793
 €/m²",None,73.000
"Apartamento en calle de Campos Crespo, nº 100",Sant Isidre ,Patraix,94,3,1,None,100.110
Piso en Marxalenes,Marxalenes ,La Saïdia,101,4,1,None,89.000
Piso en calle del Maestro Alberto Luz,Benimàmet ,Pobles de l'Oest,96,5,2,None,75.000
"Piso en Carrer de la Florista, cerca de Avinguda de Burjasot",Benicalap ,Benicalap,58,3,1,None,60.000
Apartamento en Jesús,Sant Marcel·lí ,Jesús,94,4,1,None,94.950
Piso en Carrer de Jacomart,Torrefiel ,Rascanya,85,3,1,None,103.000
Piso en La Fuensanta,La Fontsanta ,L'Olivereta,64,3,1,None,43.000
Piso en Tormos,Tormos ,La Saïdia,58,2,1,None,58.000
Apartamento en Jesús,La Raiosa ,Jesús,72,3,1,None,109.000
Piso en Torrefiel,Torrefiel ,Rascanya,100,4,1,None,85.000
Piso en Nou Moles,Nou Moles ,L'Olivereta,87,3,1,None,115.000
Piso en Benimaclet,Benimaclet ,Benimaclet,88,3,1,None,119.000
Piso en calle del Castillo de Cullera,Camí Real ,Jesús,76,3,1,None,57.000
"Piso en Carrer de Pedro Cabanes, cerca de Carrer del Marquès de Montortal",Torrefiel ,Rascanya,70,3,1,None,75.000
Piso en calle de Álvarez de Sotomayor,Camí Real ,Jesús,82,3,1,None,52.000
"Piso en calle de la Democracia, cerca de Passeig de la Petxina",Nou Moles ,L'Olivereta,73,2,1,None,102.000
"Piso en calle de la Cooperativa de San Fernando, 30",La Raiosa ,Jesús,76,2,1,None,120.000
Piso en El Castellar-L'Oliveral,El Castellar-L'Oliveral ,Pobles del Sud,100,3,1,None,100.000
