address,district,neighbourhood,sqft_surface,bedrooms,bathrooms,new_construction,price
"Piso en Avenida del Puerto, cerca de Carrer del Doctor Manuel Candela",Albors ,Camins al Grau,150,3,2,None,314.000
Piso en El Grau,El Grau ,Poblats Marítims,125,3,2,None,248.950
"Piso en Avinguda de la Malva-rosa, cerca de Calle de Antonio Ponz",La Malva-rosa ,Poblats Marítims,96,4,2,None,210.000
"Piso en Avinguda de Pérez Galdós, cerca de Carrer del Dramaturg Àngel Guimerà",Arrancapins ,Extramurs,100,2,2,None,235.000
Piso en Avenida de Aragón,Mestalla ,El Pla del Real,None,2,"1.978
 €/m²",None,326.400
Piso en Campanar,Sant Pau ,Campanar,108,3,2,None,288.000
"Piso en Avenida del Barón de Cárcer, 17",El Mercat ,Ciutat Vella,228,6,2,None,399.000
Dúplex en El Botànic,El Botànic ,Extramurs,134,2,2,None,310.000
Piso en Extramuros,La Roqueta ,Extramurs,102,3,2,None,210.000
"Piso en Arrancapins, Junto A La Estación de Joaquin Sorolla.",La Raiosa ,Jesús,174,3,3,None,270.000
Piso en calle del Doctor Zamenhof,La Petxina ,Extramurs,139,4,2,None,320.000
Piso en La Roqueta,La Roqueta ,Extramurs,147,5,5,None,290.000
Piso en Sant Llorenç,Benimaclet ,Benimaclet,123,3,2,None,300.000
"Piso en calle de Cuenca, cerca de Carrer del Palleter",Arrancapins ,Extramurs,85,2,1,None,215.000
Piso en calle de Avellanas,La Xerea ,Ciutat Vella,110,4,2,None,250.000
Piso en El Saler,El Saler ,Pobles del Sud,100,3,1,None,210.000
Piso en Esquina Con Av. Cortes Valencianas. Nuevo Mestalla.,Sant Pau ,Campanar,192,3,2,None,525.000
"Piso en calle Dr Gil y Morte, nº 16",Arrancapins ,Extramurs,124,3,2,None,240.000
Apartamento en Extramurs,La Petxina ,Extramurs,105,3,2,None,267.000
Piso en Avenida del Barón de Cárcer,El Mercat ,Ciutat Vella,249,6,2,None,370.000
Piso en La Seu,La Seu ,Ciutat Vella,130,4,2,None,240.000
Piso en Carrer de Vinatea,El Pilar ,Ciutat Vella,152,3,2,None,297.500
Piso en Avenida Amado Granell Mesado,Ciutat de les Arts i de les Ciències ,Quatre Carreres,123,3,2,None,309.600
Piso en El Pla del Remei,El Pla del Remei ,L'Eixample,122,5,2,None,385.000
Casa en calle del Pintor Ismael Blat,La Torre ,Pobles del Sud,200,4,3,None,299.000
Piso en Gran Vía de Fernando 'El Católico',La Petxina ,Extramurs,187,6,2,None,300.000
"Piso en calle de Eduardo Soler y Pérez, 10",Sant Pau ,Campanar,119,3,2,None,230.000
Piso en Carrer de la Mar,La Xerea ,Ciutat Vella,74,2,1,None,220.000
Piso en Avenida de Aragón,Mestalla ,El Pla del Real,168,4,2,None,379.000
Ático en El Cabanyal-El Canyamelar,El Cabanyal-El Canyamelar ,Poblats Marítims,111,5,2,None,245.000
