address,district,neighbourhood,sqft_surface,bedrooms,bathrooms,new_construction,price
Piso en Morvedre,Morvedre ,La Saïdia,92,2,2,None,210.000
Piso en Penya-roja,Penya-roja ,Camins al Grau,130,3,2,None,285.000
Piso en Sant Francesc,Sant Francesc ,Ciutat Vella,160,4,3,None,343.900
Piso en calle de Segorbe,Russafa ,L'Eixample,193,4,3,None,450.000
Ático en Beteró,Beteró ,Poblats Marítims,120,3,2,None,330.000
"Piso en calle de la Bisbesa, nº 3",El Pilar ,Ciutat Vella,108,1,1,None,250.000
Piso en Valencia,Gran Via ,L'Eixample,90,3,2,None,295.000
Piso en Nou Campanar,Sant Pau ,Campanar,135,3,2,None,390.000
Piso en Carrer de Maldonado,El Pilar ,Ciutat Vella,122,3,2,None,279.000
Piso en Penya-roja,Penya-roja ,Camins al Grau,102,3,2,None,380.000
Piso en Montolivet,Montolivet ,Quatre Carreres,120,4,2,None,218.000
"Piso en Valencia, Zona de - Valencia Capital",La Seu ,Ciutat Vella,100,3,2,None,300.000
Piso en Russafa,Russafa ,L'Eixample,149,3,2,None,250.000
Dúplex en Morvedre,Morvedre ,La Saïdia,95,2,2,None,222.000
Apartamento en Patraix,Vara de Quart ,Patraix,117,4,2,None,220.000
Piso en Sant Francesc,Sant Francesc ,Ciutat Vella,3,4,4,None,350.000
Piso en Sant Llorenç,Orriols ,Rascanya,105,3,2,None,365.000
"Dúplex en calle Josep Alminyana I Valles, nº 4",Sant Pau ,Campanar,155,3,2,None,499.000
Piso en L'Hort de Senabre,L'Hort de Senabre ,Jesús,139,3,2,None,275.000
Ático en Beniferri,Beniferri ,Pobles de l'Oest,134,3,2,None,289.285
Piso en Ensanche,Russafa ,L'Eixample,76,2,2,None,238.000
Piso en Montolivet,Montolivet ,Quatre Carreres,75,2,1,None,220.000
Apartamento en Patraix,Safranar ,Patraix,214,4,2,None,280.000
Piso en Russafa,Russafa ,L'Eixample,76,2,2,None,220.000
"Piso en calle de Trafalgar, nº 52",Penya-roja ,Camins al Grau,132,3,2,None,350.000
Piso en Cabanyal,El Grau ,Poblats Marítims,137,3,2,None,245.000
Piso en Russafa,Russafa ,L'Eixample,74,2,1,None,249.900
Piso en Campanar - Sant Pau - Zona Palau de Congresos - Nou Campanar,Sant Pau ,Campanar,135,3,2,None,350.000
"Piso en calle del Muro de Santa Ana, 3",La Seu ,Ciutat Vella,123,2,2,None,375.000
Piso en El Pla del Remei,El Pla del Remei ,L'Eixample,77,2,1,None,370.000
