index,address,neighbourhood,district,sqft_surface,bedrooms,bathrooms,new_construction,price,latitude,longitude
1,Plaza Nou Moles,La Petxina ,Extramurs,84.0,3,1,None,72.0,None,None
2,calle Jose Grollo,Ciutat Fallera ,Benicalap,52.0,3,1,None,48.0,39.4890053,-0.3880194
3,calle de Costa y Borrás,L'Hort de Senabre ,Jesús,87.0,3,1,None,118.0,None,None
4,Avinguda de Pérez Galdós,Arrancapins ,Extramurs,95.0,3,1,None,120.0,39.4688562,-0.391392
5,calle de Conchita Piquer,Campanar ,Campanar,65.0,2,1,None,75.0,39.4864508,-0.3912568
6,calle del Brasil,Nou Moles ,L'Olivereta,95.0,4,2,None,95.0,39.472763,-0.4013665
7,calle Fontanares,Patraix ,Patraix,90.0,3,1,None,110.0,39.4602214,-0.3942363
8,calle de Olimpia Arozena Torres,Nou Moles ,L'Olivereta,73.0,3,1,None,64.95,None,None
9,Carrer de Pedro Cabanes,Sant Antoni ,La Saïdia,76.0,3,1,None,119.5,None,None
10,calle del Brasil,Nou Moles ,L'Olivereta,85.0,3,1,None,72.0,39.472763,-0.4013665
11,Avenida de Ausiàs March,En Corts ,Quatre Carreres,82.0,4,1,None,109.0,39.4434875,-0.3693949
12,calle de Francisco Falcons,Natzaret ,Poblats Marítims,80.0,2,1,None,95.0,39.4463294,-0.3346041
14,Avenida de San José Artesano,Ciutat Fallera ,Benicalap,75.0,3,1,None,65.0,39.4972616,-0.3945231
15,calle de María Jordán,Patraix ,Patraix,114.0,4,2,None,130.0,39.4616332,-0.3920555
16,calle del Grabador Jordán,Fonteta de Sant Lluís ,Quatre Carreres,90.0,2,1,None,105.0,None,None
17,calle de Santo Domingo Savio,Torrefiel ,Rascanya,74.0,2,1,None,98.0,39.4978043,-0.3761271
18,Pobles del Sud ,El Perellonet ,Pobles del Sud,70.0,2,1,None,120.0,39.4282661,-0.3581993
19,Carrer del Mestre Marçal,Torrefiel ,Rascanya,70.0,2,1,None,48.0,39.4934885,-0.3760764
20,calle de Joaquín Navarro,L'Hort de Senabre ,Jesús,81.0,3,1,None,89.9,39.4530162,-0.3880891
21,calle de Menorca,La Creu del Grau ,Camins al Grau,68.0,2,1,None,87.0,39.4612806,-0.3395379
22,calle Carrer del Llavador,El Cabanyal-El Canyamelar ,Poblats Marítims,83.0,4,1,None,99.0,39.4700606,-0.3327674
23,Avinguda de Peris y Valero,Russafa ,L'Eixample,72.0,2,1,None,127.0,39.4596952,-0.369315
24,calle de Fray Pedro Ponce de Léon,Montolivet ,Quatre Carreres,80.0,3,1,None,120.0,39.4583211,-0.361902
25,calle del Maestro Asensi,Nou Moles ,L'Olivereta,75.0,3,1,None,84.0,None,None
26,calle de la Sierra Martés,Benicalap ,Benicalap,75.0,3,1,None,98.0,None,None
27,Pobles de L'oest ,Benimàmet ,Pobles de l'Oest,115.0,3,2,None,120.0,39.4992054,-0.4142086
28,calle Ramón de Rocafull,El Cabanyal-El Canyamelar ,Poblats Marítims,64.0,3,1,None,79.0,None,None
29,Carteros,L'Hort de Senabre ,Jesús,75.0,3,1,None,82.0,39.4512636,-0.3889267
1,Cabañal,El Cabanyal-El Canyamelar ,Poblats Marítims,65.0,3,1,None,79.0,39.4701544,-0.3323547
4,Carrer del Riu Bidasoa,Torrefiel ,Rascanya,90.0,3,1,None,119.0,39.497628,-0.3797864
5,Avinguda de Campanar,Beniferri ,Pobles de l'Oest,59.0,2,1,None,82.0,None,None
6,Carrer de la Isla Cabrera,Malilla ,Quatre Carreres,109.0,3,2,None,129.0,None,None
7,calle de Zapadores,Montolivet ,Quatre Carreres,73.0,3,1,None,130.0,39.4585173,-0.3686143
8,calle de San Roque,Benicalap ,Benicalap,59.0,1,1,Obra nueva,121.0,None,None
9,calle Jose Grollo,Benicalap ,Benicalap,65.0,3,1,None,69.9,39.4890053,-0.3880194
10,Carrer de Betxí,Ciutat Fallera ,Benicalap,89.0,3,1,None,79.9,39.4951127,-0.3952419
12,calle de San Roque,Benicalap ,Benicalap,59.0,1,1,Obra nueva,119.0,None,None
13,calle de San Roque,Benicalap ,Benicalap,59.0,1,1,Obra nueva,110.0,None,None
16,calle de Molina,La Xerea ,Ciutat Vella,59.0,3,1,None,70.0,None,None
17,Avenida de La Ronda de Natzaret,Natzaret ,Poblats Marítims,59.0,2,1,None,120.0,39.4525445,-0.3342814
18,calle de Ángel Villena,Na Rovella ,Quatre Carreres,105.0,3,2,None,129.0,None,None
19,Avenida Amado Granell Mesado 'Militar,Montolivet ,Quatre Carreres,80.0,3,1,None,115.0,39.4597989,-0.3655051
21,Carrer de la Florista,Benicalap ,Benicalap,70.0,2,1,None,81.9,39.4903004,-0.391614
22,calle de Esquife,Les Tendetes ,Campanar,65.0,2,1,None,75.0,None,None
23,calle de la Isla de Hierro,La Malva-rosa ,Poblats Marítims,68.0,3,1,None,75.0,None,None
25,calle Peris Celda,Ciutat Fallera ,Benicalap,75.0,3,1,None,49.9,39.4983442,-0.3944335
26,calle de Pedro de Luna,La Torre ,Pobles del Sud,68.0,3,1,None,36.0,39.4335037,-0.3904874
27,Carrer del Periodista Gil Sumbiela,Benicalap ,Benicalap,80.0,3,1,None,77.0,39.4934831,-0.3898259
28,calle de Daroca,Orriols ,Rascanya,60.0,2,1,None,60.0,39.4960427,-0.3687883
0,Avenida de Poeta Federico García Lorca,El Forn d'Alcedo ,Pobles del Sud,77.0,2,1,None,73.66,None,None
2,calle del Padre Viñas,Orriols ,Rascanya,80.0,3,1,None,68.0,None,None
3,Carrer de Higinio Noja 'Professor,La Creu del Grau ,Camins al Grau,70.0,3,1,None,109.9,39.4610612,-0.346583
5,calle de Vicente Brull,El Grau ,Poblats Marítims,63.0,2,1,None,96.0,39.4658057,-0.3325542
6,calle Rodriguez de Pertegaz,Gran Via ,L'Eixample,104.0,3,1,None,130.0,None,None
7,Carrer de Josep Esteve,Torrefiel ,Rascanya,86.0,3,1,None,95.0,39.4959088,-0.3748871
8,Carrer de José Soto Micó,Favara ,Patraix,130.0,4,2,None,120.0,None,None
11,San Marcelino,Sant Marcel·lí ,Jesús,98.0,2,2,None,129.0,None,None
14,Carrer del General Llorens,Tormos ,La Saïdia,60.0,2,1,None,69.0,None,None
15,Poblados del Oeste,Benimàmet ,Pobles de l'Oest,130.0,3,2,None,100.0,None,None
19,calle del Padre Viñas,Orriols ,Rascanya,106.0,4,1,None,90.0,None,None
20,calle de Daroca,Orriols ,Rascanya,62.0,2,1,None,63.0,39.4960427,-0.3687883
22,calle de Montesa,Favara ,Patraix,78.0,3,1,None,99.0,39.4552854,-0.3938988
23,calle del Botánico,El Botànic ,Extramurs,60.0,2,1,None,110.0,None,None
25,Sant Marcel.Lí,Sant Marcel·lí ,Jesús,91.0,3,2,None,129.0,None,None
27,calle de José Zaragoza,Favara ,Patraix,73.0,3,1,None,69.5,39.455171,-0.3923599
