index,address,neighbourhood,district,sqft_surface,bedrooms,bathrooms,new_construction,price,latitude,longitude
18,calle de Daroca,Sant Antoni ,La Saïdia,70.0,2,1,None,64.5,None,None
20,calle de la Escotilla,El Perellonet ,Pobles del Sud,83.0,2,2,None,110.0,None,None
21,calle del Reverendo José Noguera,Sant Marcel·lí ,Jesús,101.0,3,2,None,132.0,None,None
23,Benimaclet,Beniferri ,Pobles de l'Oest,65.0,3,1,None,130.0,None,None
28,calle de los Jurados,Tres Forques ,L'Olivereta,85.0,3,1,None,85.0,None,None
3,calle de la Madera,Aiora ,Camins al Grau,65.0,3,1,None,65.0,None,None
9,Plaza Regino Mas,Ciutat Fallera ,Benicalap,74.0,2,1,None,56.5,None,None
18,calle de Alcalá de Chivert,Camí Real ,Jesús,90.0,3,1,None,105.0,None,None
20,Carrer de Olimpia Arozena Torres 'Professora,Nou Moles ,L'Olivereta,87.0,4,1,None,99.0,None,None
24,calle de Andrés Piles Ibars,Benicalap ,Benicalap,84.0,3,1,None,68.313,None,None
26,calle de Bello,El Grau ,Poblats Marítims,70.0,3,1,None,130.0,None,None
27,calle Castell de Benissano,Montolivet ,Quatre Carreres,58.0,2,1,None,70.0,None,None
2,Carrer del Picaio,Sant Francesc ,Ciutat Vella,73.0,3,1,None,75.0,None,None
5,calle de la Escotilla,El Perellonet ,Pobles del Sud,74.0,3,2,None,76.0,None,None
8,calle del Padre Viñas,Orriols ,Rascanya,75.0,2,1,None,59.9,None,None
10,calle de Mosén Fenollar,Patraix ,Patraix,91.0,3,1,None,99.0,None,None
17,calle Ramón de Rocafull,El Cabanyal-El Canyamelar ,Poblats Marítims,64.0,3,1,None,79.0,None,None
19,calle del Médico Esteve,La Raiosa ,Jesús,89.0,3,1,None,109.5,None,None
23,calle del Micer Rabasa,La Raiosa ,Jesús,88.0,1,1,Obra nueva,129.9,None,None
24,calle del Doctor Nicasio Benlloch,Campanar ,Campanar,75.0,3,1,None,86.0,None,None
28,Carrer de Domingo Gómez,Torrefiel ,Rascanya,100.0,3,1,None,98.0,None,None
7,calle del Arquitecto Alfaro,El Grau ,Poblats Marítims,80.0,3,1,None,119.0,None,None
9,calle del Compromiso de Caspe,La Raiosa ,Jesús,82.0,4,1,None,85.0,None,None
20,Carrer de Domingo Gómez,Torrefiel ,Rascanya,94.0,4,1,None,76.99,None,None
24,calle de Alcañiz,Torrefiel ,Rascanya,92.0,4,1,None,73.0,None,None
28,calle de Escalante,Beteró ,Poblats Marítims,81.0,2,1,None,110.0,None,None
1,calle de Felipe Vives de Cañamás,El Cabanyal-El Canyamelar ,Poblats Marítims,89.0,3,1,None,103.0,None,None
2,calle Plaza Escultor Flrchina,Favara ,Patraix,107.0,4,1,None,120.0,None,None
6,calle de Josep Grollo,Benicalap ,Benicalap,122.0,4,1,None,89.505,None,None
7,calle de Mosén Fenollar,Arrancapins ,Extramurs,75.0,3,1,None,125.0,None,None
9,Avinguda de la Malva,La Malva-rosa ,Poblats Marítims,80.0,3,1,None,115.0,None,None
11,calle del Ingeniero José Sirera,Sant Marcel·lí ,Jesús,95.0,3,1,None,124.5,None,None
12,calle de Escalante,El Cabanyal-El Canyamelar ,Poblats Marítims,62.0,1,1,None,83.0,None,None
18,calle de La Puebla de Farnals,Ciutat Jardí ,Algirós,83.0,3,1,None,119.0,None,None
19,calle de San Juan de Dios,La Malva-rosa ,Poblats Marítims,55.0,2,1,None,79.0,None,None
22,Carrer del Doctor Jaime Segarra,Torrefiel ,Rascanya,71.0,2,1,None,100.0,None,None
25,L'hort de Senabre,L'Hort de Senabre ,Jesús,83.0,3,1,None,104.0,None,None
1,calle de la Virgen del Sufragio,El Cabanyal-El Canyamelar ,Poblats Marítims,72.0,2,1,None,127.0,None,None
3,calle del Rincón de Ademuz,Nou Moles ,L'Olivereta,61.0,2,1,None,90.0,None,None
9,calle del Alcalde Cano Coloma,Aiora ,Camins al Grau,55.0,2,1,None,120.0,None,None
12,calle Pintor Juan Bautista Porcar,Torrefiel ,Rascanya,101.0,3,1,None,105.0,None,None
13,Els Orriols,Orriols ,Rascanya,71.0,3,1,None,55.0,None,None
14,Carretera de Moncada,Torrefiel ,Rascanya,82.0,3,2,None,115.0,None,None
15,calle de Antonio Ponz,La Malva-rosa ,Poblats Marítims,80.0,3,1,None,129.0,None,None
17,calle de Ignacio de Zuloaga,La Punta ,Quatre Carreres,82.0,4,1,None,68.877,None,None
20,calle del Arzobispo Company,El Cabanyal-El Canyamelar ,Poblats Marítims,58.0,3,1,None,124.9,None,None
24,calle de los Plátanos,Benicalap ,Benicalap,67.0,3,1,None,74.99,None,None
25,calle de Ribarroja,La Llum ,L'Olivereta,69.0,3,1,None,64.0,None,None
27,calle de Mariano Cuber,Beteró ,Poblats Marítims,72.0,2,1,None,120.0,None,None
29,calle de Alcañiz,Torrefiel ,Rascanya,116.0,3,1,None,95.0,None,None
0,calle del Padre Viñas,Orriols ,Rascanya,62.0,3,1,None,63.0,None,None
3,calle de Ángel Villena,En Corts ,Quatre Carreres,105.0,3,2,None,129.0,None,None
5,Plaça de Salvador Allebnde,Torrefiel ,Rascanya,94.0,3,1,None,88.0,None,None
7,calle de la Gabarda,Benimàmet ,Pobles de l'Oest,67.0,3,1,None,55.39,None,None
15,calle del Padre Vicent,En Corts ,Quatre Carreres,61.0,2,1,None,97.0,None,None
17,Carrer del Riu Cabriel,El Forn d'Alcedo ,Pobles del Sud,102.0,4,2,None,65.0,None,None
20,calle Eperanza,Benimàmet ,Pobles de l'Oest,103.0,4,2,None,86.9,None,None
21,Carrer de Joan Piñol,Torrefiel ,Rascanya,64.0,2,1,None,69.0,None,None
24,calle del Músico Cabanilles,Sant Marcel·lí ,Jesús,55.0,2,1,None,73.82,None,None
26,calle del Arzobispo Company,El Cabanyal-El Canyamelar ,Poblats Marítims,110.0,3,1,None,125.0,None,None
28,calle Presen Saez Descatillar,Tres Forques ,L'Olivereta,80.0,3,2,None,78.0,None,None
3,calle de Luis Despuig,El Cabanyal-El Canyamelar ,Poblats Marítims,102.0,2,1,None,125.0,None,None
4,calle de Juan de Aguiló,La Raiosa ,Jesús,86.0,4,1,None,89.0,None,None
23,calle del Padre Vicent,En Corts ,Quatre Carreres,77.0,3,1,None,99.0,None,None
24,calle del Maestro Asensi,Nou Moles ,L'Olivereta,71.0,3,1,None,87.0,None,None
27,calle Doctor Andres Piqer,Massarrojos ,Pobles del Nord,119.0,4,1,None,116.0,None,None
28,calle del Reverendo José Noguera,Sant Marcel·lí ,Jesús,72.0,3,1,None,58.0,None,None
29,Avenida de Gaspar Aguilar,Sant Francesc ,Ciutat Vella,84.0,3,1,None,80.0,None,None
3,calle del Humanista Mariner,Patraix ,Patraix,99.0,3,1,None,119.0,None,None
9,calle de Alcañiz,Torrefiel ,Rascanya,99.0,4,1,None,55.0,None,None
13,calle del Músico Cabanilles,Sant Marcel·lí ,Jesús,74.0,2,1,None,73.82,None,None
18,calle de Vicente Ballester,El Cabanyal-El Canyamelar ,Poblats Marítims,79.0,3,1,None,119.5,None,None
21,calle del Almirante Cruilles,Aiora ,Camins al Grau,68.0,3,1,None,63.5,None,None
22,calle de Torrevieja,La Raiosa ,Jesús,112.0,3,2,None,104.0,None,None
24,calle del Músico Cabanilles,El Castellar-L'Oliveral ,Pobles del Sud,55.0,2,1,None,73.82,None,None
26,calle de Berenguer de Montoliu,La Malva-rosa ,Poblats Marítims,80.0,2,1,None,125.0,None,None
28,calle de Norman Bethune 'Médico,Tres Forques ,L'Olivereta,77.0,3,2,None,95.0,None,None
2,Plaza del Sainetero Arniches,La Llum ,L'Olivereta,116.0,3,1,None,85.0,None,None
3,calle del Humanista Mariner,Patraix ,Patraix,76.0,3,1,None,119.0,None,None
4,calle del Timón,El Perellonet ,Pobles del Sud,99.0,3,2,None,120.0,None,None
5,Plaça de Ramon Contreras I Mongrell,Orriols ,Rascanya,82.0,3,1,None,83.7,None,None
6,calle de la Pianista Amparo Iturbi,Malilla ,Quatre Carreres,96.0,3,1,None,125.0,None,None
7,calle de Montán,El Cabanyal-El Canyamelar ,Poblats Marítims,77.0,3,1,None,121.0,None,None
12,calle del Alcalde Cano Coloma,Aiora ,Camins al Grau,55.0,2,1,None,120.0,None,None
18,calle de Antonio Ponz,La Malva-rosa ,Poblats Marítims,65.0,2,1,None,90.0,None,None
20,Plaza Regino Mas,Ciutat Fallera ,Benicalap,67.0,3,1,None,59.0,None,None
25,calle del Padre Viñas,Orriols ,Rascanya,78.0,3,1,None,77.0,None,None
28,calle de Félix del Río 'Activista Vecinal,Benicalap ,Benicalap,58.0,3,1,None,79.0,None,None
2,calle del Maestro Asensi,Nou Moles ,L'Olivereta,81.0,2,1,None,75.0,None,None
3,calle del Erudito Pages,Torrefiel ,Rascanya,85.0,3,1,None,55.0,None,None
7,Nou Moles,Patraix ,Patraix,87.0,4,1,None,98.0,None,None
11,calle Virgen de La Zabeza,Tres Forques ,L'Olivereta,115.0,2,2,None,104.9,None,None
16,calle del Reverendo José Noguera,Sant Marcel·lí ,Jesús,92.0,3,2,None,125.0,None,None
20,Plaza Gloria Fuertes,Orriols ,Rascanya,92.0,3,2,None,119.0,None,None
22,calle de Archena,Sant Pau ,Campanar,53.0,2,1,None,99.0,None,None
2,calle de Juan Bautista Vives,Nou Moles ,L'Olivereta,64.0,3,1,None,77.0,None,None
4,calle Poeta Fdco Garcia Lorca,El Forn d'Alcedo ,Pobles del Sud,77.0,2,1,None,73.66,None,None
6,calle Trasatlantico,Les Tendetes ,Campanar,72.0,3,1,None,85.0,None,None
10,calle Regino Mas,Ciutat Fallera ,Benicalap,65.0,3,1,None,63.0,None,None
13,calle del Padre Viñas,Orriols ,Rascanya,78.0,4,1,None,37.0,None,None
17,calle Alqueria de La Estrell,Marxalenes ,La Saïdia,80.0,3,1,None,113.0,None,None
26,calle de Tramoyeres,El Cabanyal-El Canyamelar ,Poblats Marítims,68.0,3,1,None,125.0,None,None
28,calle Alquería de Bellver,Benicalap ,Benicalap,86.0,3,2,None,99.0,None,None
3,Carrer del Doctor Ferran,Mestalla ,El Pla del Real,54.0,2,1,None,126.6,None,None
4,calle del Padre Viñas,Orriols ,Rascanya,98.0,3,1,None,83.0,None,None
5,calle del Padre Viñas,Orriols ,Rascanya,75.0,3,1,None,68.0,None,None
