index,address,neighbourhood,district,sqft_surface,bedrooms,bathrooms,new_construction,price
26,Valencia,Sant Llorenç ,Rascanya,217.0,4,4,None,470.0
26,Campanar,Campanar ,Campanar,74.0,2,1,None,235.0
25,Campanar,Campanar ,Campanar,178.0,4,3,None,290.0
8,Patraix,Patraix ,Patraix,131.0,2,2,None,232.0
1,Patraix,Patraix ,Patraix,91.0,3,2,None,230.0
9,Benicalap,Benicalap ,Benicalap,126.0,3,2,None,350.0
14,Campanar,Campanar ,Campanar,130.0,3,2,None,427.0
9,Valencia,El Cabanyal-El Canyamelar ,Poblats Marítims,125.0,3,2,None,225.0
8,Ciutat Vella,El Carme ,Ciutat Vella,60.0,1,1,None,220.0
12,Benimaclet,Benimaclet ,Benimaclet,122.0,3,2,None,370.0
7,Extramurs,El Botànic ,Extramurs,138.0,3,2,None,263.0
29,Extramurs,Arrancapins ,Extramurs,141.0,6,1,None,212.5
16,Patraix,Patraix ,Patraix,101.0,3,2,None,239.0
7,V,Tres Forques ,L'Olivereta,101.0,3,2,None,229.0
1,Extramurs,La Roqueta ,Extramurs,182.0,3,3,None,430.0
22,Patraix,Patraix ,Patraix,120.0,3,2,None,255.0
15,Benicalap,Benicalap ,Benicalap,125.0,3,2,None,210.0
6,Ciutat Vella,La Seu ,Ciutat Vella,160.0,2,2,None,320.0
1,Valencia,Russafa ,L'Eixample,229.0,6,2,None,395.0
26,Patraix,Patraix ,Patraix,100.0,2,3,None,270.0
17,Campanar,Campanar ,Campanar,110.0,3,2,None,420.0
22,Patraix,Safranar ,Patraix,214.0,4,2,None,280.0
14,Patraix,Vara de Quart ,Patraix,117.0,4,2,None,220.0
11,Valencia,La Seu ,Ciutat Vella,100.0,3,2,None,300.0
6,Valencia,Gran Via ,L'Eixample,90.0,3,2,None,295.0
18,Campanar,Campanar ,Campanar,155.0,5,2,None,340.0
15,Jesús,La Raiosa ,Jesús,67.0,1,1,None,220.0
5,Extramurs,La Petxina ,Extramurs,100.0,3,2,None,214.9
2,Algirós,Ciutat Jardí ,Algirós,151.0,3,2,None,289.0
0,Benimaclet,Benimaclet ,Benimaclet,195.0,4,2,None,365.0
18,Ciutat Vella,El Carme ,Ciutat Vella,95.0,4,1,None,274.95
6,Campanar,Campanar ,Campanar,121.0,3,2,None,350.0
5,Extramurs,El Botànic ,Extramurs,110.0,3,2,None,250.0
20,El Pla del Real,Ciutat Universitària ,El Pla del Real,115.0,4,2,None,265.0
9,Patraix,Patraix ,Patraix,120.0,3,2,None,260.0
28,Valencia,Sant Francesc ,Ciutat Vella,211.0,5,2,None,450.0
27,Jesús,La Raiosa ,Jesús,143.0,3,2,None,280.0
18,Patraix,Patraix ,Patraix,152.0,3,2,None,235.0
9,Campanar,Sant Pau ,Campanar,125.0,3,2,None,350.0
2,Valencia,Torrefiel ,Rascanya,236.0,3,1,None,245.0
29,Patraix,Patraix ,Patraix,117.0,3,3,None,215.0
19,Benimaclet,Camí de Vera ,Benimaclet,118.0,3,2,None,249.5
14,Patraix,Patraix ,Patraix,110.0,5,2,None,230.0
10,Campanar,Campanar ,Campanar,124.0,4,2,None,219.0
25,Benicalap,Benicalap ,Benicalap,89.0,3,2,None,215.0
21,Benicalap,Benicalap ,Benicalap,160.0,3,2,None,265.0
14,Valencia,Russafa ,L'Eixample,165.0,5,2,None,515.0
9,Valencia,El Grau ,Poblats Marítims,140.0,3,2,None,248.0
3,Ciutat Vella,La Seu ,Ciutat Vella,105.0,2,1,None,420.0
23,Patraix,Patraix ,Patraix,334.0,4,3,None,415.0
8,Patraix,Patraix ,Patraix,129.0,5,2,None,210.0
7,Extramurs,Arrancapins ,Extramurs,148.0,5,2,None,277.0
27,Benimaclet,Benimaclet ,Benimaclet,149.0,4,2,None,220.0
17,Benicalap,Benicalap ,Benicalap,103.0,3,2,None,262.0
12,Campanar,Sant Pau ,Campanar,120.0,3,2,None,350.0
24,Campanar,Sant Pau ,Campanar,120.0,3,2,None,325.0
9,Extramurs,La Petxina ,Extramurs,120.0,3,2,None,265.0
0,Campanar,Campanar ,Campanar,138.0,4,2,None,215.0
16,Patraix,Patraix ,Patraix,120.0,3,2,None,260.0
8,Patraix,Patraix ,Patraix,115.0,2,1,None,260.0
23,Valencia,Russafa ,L'Eixample,163.0,4,2,None,340.0
0,Benimaclet,Benimaclet ,Benimaclet,115.0,4,2,None,290.0
16,Campanar,Campanar ,Campanar,125.0,4,2,None,240.0
10,Benimaclet,Benimaclet ,Benimaclet,122.0,3,2,None,370.0
18,Extramurs,La Petxina ,Extramurs,105.0,3,2,None,267.0
5,Campanar,Sant Pau ,Campanar,108.0,3,2,None,288.0
11,Valencia,Russafa ,L'Eixample,113.0,4,2,None,250.0
1,Campanar,Sant Pau ,Campanar,142.0,5,2,None,290.0
24,Algirós,La Carrasca ,Algirós,100.0,3,2,None,360.0
10,Ciutat Vella,Sant Francesc ,Ciutat Vella,95.0,3,2,None,229.9
8,Valencia,Morvedre ,La Saïdia,120.0,3,2,None,215.0
28,Valencia,La Creu del Grau ,Camins al Grau,170.0,3,2,None,341.1
27,Campanar,Campanar ,Campanar,150.0,3,2,None,350.0
26,Campanar,Sant Pau ,Campanar,140.0,4,2,None,395.0
10,Benimaclet,Benimaclet ,Benimaclet,120.0,4,2,None,260.0
13,Extramurs,La Petxina ,Extramurs,100.0,2,2,None,249.9
4,Valencia,Sant Pau ,Campanar,155.0,5,2,None,325.0
0,Ciutat Vella,El Carme ,Ciutat Vella,144.0,2,2,None,350.0
24,Patraix,Safranar ,Patraix,134.0,4,2,None,240.0
6,Campanar,Campanar ,Campanar,282.0,4,3,None,525.0
0,Ciutat Vella,Sant Francesc ,Ciutat Vella,90.0,3,2,None,320.0
14,Benimaclet,Benimaclet ,Benimaclet,115.0,4,2,None,290.0
4,Benicalap,Benicalap ,Benicalap,135.0,3,2,None,359.0
10,Extramurs,El Botànic ,Extramurs,141.0,3,2,None,259.9
28,Benimaclet,Benimaclet ,Benimaclet,122.0,3,2,None,370.0
15,Benimaclet,Benimaclet ,Benimaclet,112.0,3,2,None,255.0
13,Jesús,La Raiosa ,Jesús,135.0,4,2,None,350.0
20,El Pla del Real,Exposició ,El Pla del Real,200.0,3,3,None,490.0
15,El Pla del Real,Exposició ,El Pla del Real,110.0,2,2,None,415.0
14,Ciutat Vella,Sant Francesc ,Ciutat Vella,180.0,5,3,None,475.0
6,El Pla del Real,Mestalla ,El Pla del Real,192.0,5,3,None,398.0
15,Benimaclet,Benimaclet ,Benimaclet,115.0,3,2,None,370.0
29,Ciutat Vella,La Xerea ,Ciutat Vella,135.0,2,2,None,430.0
9,Poblats Marítims,El Cabanyal-El Canyamelar ,Poblats Marítims,110.0,3,2,None,270.0
7,Benicalap,Benicalap ,Benicalap,100.0,3,2,None,416.0
5,Ciutat Vella,La Xerea ,Ciutat Vella,50.0,1,1,None,230.0
25,Benimaclet,Benimaclet ,Benimaclet,80.0,2,1,None,250.0
22,Benicalap,Benicalap ,Benicalap,99.0,3,2,None,355.0
21,Campanar,Sant Pau ,Campanar,125.0,3,2,None,350.0
2,Rascanya,Sant Llorenç ,Rascanya,150.0,4,3,None,419.0
14,El Pla del Real,Mestalla ,El Pla del Real,110.0,3,2,None,265.0
7,Ciutat Vella,La Xerea ,Ciutat Vella,80.0,3,2,None,237.0
6,Benimaclet,Benimaclet ,Benimaclet,105.0,4,2,None,220.0
26,Ciutat Vella,El Carme ,Ciutat Vella,60.0,1,1,None,227.0
1,Quatre Carreres,Ciutat de les Arts i de les Ciències ,Quatre Carreres,137.0,3,2,None,510.0
0,Ciutat Vella,La Xerea ,Ciutat Vella,126.0,3,2,None,365.0
10,Ciutat Vella,El Carme ,Ciutat Vella,115.0,2,2,None,295.0
3,Benicalap,Benicalap ,Benicalap,116.0,3,2,None,295.0
15,Poblats Marítims,El Cabanyal-El Canyamelar ,Poblats Marítims,111.0,2,1,None,230.0
3,Valencia,Gran Via ,L'Eixample,117.0,4,2,None,298.0
2,Valencia,Russafa ,L'Eixample,77.0,2,2,None,225.0
1,Valencia,El Mercat ,Ciutat Vella,170.0,4,2,None,420.0
0,Valencia,Marxalenes ,La Saïdia,123.0,4,2,None,255.0
29,Valencia,Tormos ,La Saïdia,112.0,3,2,None,260.0
28,Valencia,La Seu ,Ciutat Vella,130.0,2,2,None,380.0
24,Valencia,Arrancapins ,Extramurs,178.0,4,3,None,392.0
21,Valencia,Sant Francesc ,Ciutat Vella,49.0,2,1,None,250.0
20,Valencia,El Cabanyal-El Canyamelar ,Poblats Marítims,107.0,3,2,None,270.0
